"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss","FileName","Glosser","Gloss.clean","Gloss.math","Gloss.calc","Math.well.defined","Math.check","Does.math.work"
"1","numerals-baka1273-1-seventeen-1","numerals-baka1273-1","Chan2019","seventeen",17,"dyòòm nɛ̀ sàámbá","dyoomnesaamba",NA,"false","5′+2′",NA,NA,"Africa013-AtlanticCongo-numerals-baka1273-1.csv","EAT","5′+2′","5+2","5+2",1,7,FALSE
"2","numerals-kako1242-1-thousand-1","numerals-kako1242-1","Chan2019","thousand",1000,"tɔmay","tomay","(orː mil wɛtɛ)","false","{CL″}100",NA,NA,"Africa029-AtlanticCongo-numerals-kako1242-1.csv","EAT","100","100","100",1,100,FALSE
"3","numerals-seki1238-1-sixty-1","numerals-seki1238-1","Chan2019","sixty",60,"mɛ̀bómɛ́tànì nɛ̀ βɔ́tɛ","mebometaninebote","","false","{CL′}10⋅{CL′}5+{and}1",NA,NA,"Africa032-AtlanticCongo-numerals-seki1238-1.csv","EAT","10⋅5+1","10⋅5+1","abs(10*5)+1",1,51,FALSE
"4","numerals-seki1238-1-seventy-1","numerals-seki1238-1","Chan2019","seventy",70,"mɛ̀bómɛ́tànì nɛ̀ mɛ́bà","mebometaninemeba","","false","{CL′}10⋅{CL′}5+{and}2",NA,NA,"Africa032-AtlanticCongo-numerals-seki1238-1.csv","EAT","10⋅5+2","10⋅5+2","abs(10*5)+2",1,52,FALSE
"5","numerals-seki1238-1-eighty-1","numerals-seki1238-1","Chan2019","eighty",80,"mɛ̀bómɛ́tànì nɛ̀ mɛ́tátʃì","mebometaninemetatsi","","false","{CL′}10⋅{CL′}5+{and}3",NA,NA,"Africa032-AtlanticCongo-numerals-seki1238-1.csv","EAT","10⋅5+3","10⋅5+3","abs(10*5)+3",1,53,FALSE
"6","numerals-seki1238-1-ninety-1","numerals-seki1238-1","Chan2019","ninety",90,"mɛ̀bómɛ́tànì nɛ̀ mɛ́nèyi","mebometaninemeneyi","","false","{CL′}10⋅{CL′}5+{and}4",NA,NA,"Africa032-AtlanticCongo-numerals-seki1238-1.csv","EAT","10⋅5+4","10⋅5+4","abs(10*5)+4",1,54,FALSE
"7","numerals-ndas1238-1-ninety-1","numerals-ndas1238-1","Chan2019","ninety",90,"ma-ku i-vwa","makuivwa","","false","{CL″}10⋅{CL}8","",NA,"Africa042-AtlanticCongo-numerals-ndas1238-1.csv","EAT","10⋅8","10⋅8","abs(10*8)",1,80,FALSE
"8","numerals-wumb1242-2-seventy-1","numerals-wumb1242-2","Chan2019","seventy",70,"mɛ̀kó mɛ́ꜜtáyì nɛ̀ byɔ́ːlɛ́","mekometayinebyole","","false","{PLU?}10⋅({PLU?}5′+{+}12)","",NA,"Africa043-AtlanticCongo-numerals-wumb1242-2.csv","EAT","10⋅(5′+12)","10⋅(5+12)","10*abs(5+12)",1,170,FALSE
"9","numerals-eton1253-1-twohundred-1","numerals-eton1253-1","Chan2019","twohundred",200,"mì-ntɛ̀d mí-bá","mintedmiba","","false","{CL⁗}100",NA,NA,"Africa055-AtlanticCongo-numerals-eton1253-1.csv","EAT","100","100","100",1,100,FALSE
"10","numerals-pinj1243-1-eighty-1","numerals-pinj1243-1","Chan2019","eighty",80,"(dì)ndzìmá ɣènânà","dindzimagenana",NA,"false","{CL′}10⋅{CL′}4′+4′","",NA,"Africa057-AtlanticCongo-numerals-pinj1243-1.csv","EAT","10⋅4′+4′","10⋅4+4","abs(10*4)+4",1,44,FALSE
"11","numerals-pinj1243-1-twohundred-1","numerals-pinj1243-1","Chan2019","twohundred",200,"kámà dìbàlè","kamadibale",NA,"false","1000⋅{CL′}2","",NA,"Africa057-AtlanticCongo-numerals-pinj1243-1.csv","EAT","1000⋅2","1000⋅2","abs(1000*2)",1,2000,FALSE
"12","numerals-elip1238-1-eighty-1","numerals-elip1238-1","Chan2019","eighty",80,"ètʰín éǹníhì","ethinennihi","( 20's four )","false","{CL‴}20⋅{CL‴″}8","",NA,"Africa063-AtlanticCongo-numerals-elip1238-1.csv","EAT","20⋅8","20⋅8","abs(20*8)",1,160,FALSE
"13","numerals-elip1238-1-hundred-1","numerals-elip1238-1","Chan2019","hundred",100,"nʊ̀ɡɔ́n","nugon","","false","{CL‴}20+{CL″″}10","",NA,"Africa063-AtlanticCongo-numerals-elip1238-1.csv","EAT","20+10","20+10","20+10",1,30,FALSE
"14","numerals-elip1238-1-thousand-2","numerals-elip1238-1","Chan2019","thousand",1000,"òkólòŋ nùkón","okolongnukon","","false","2⋅1000","",NA,"Africa063-AtlanticCongo-numerals-elip1238-1.csv","EAT","2⋅1000","2⋅1000","abs(2*1000)",1,2000,FALSE
"15","numerals-nugu1242-1-thirty-1","numerals-nugu1242-1","Chan2019","thirty",30,"nitíno na sɛ́ɔdɔ","nitinonaseodo","","false","10+{and}10",NA,NA,"Africa064-AtlanticCongo-numerals-nugu1242-1.csv","EAT","10+10","10+10","10+10",1,20,FALSE
"16","numerals-nugu1242-1-forty-1","numerals-nugu1242-1","Chan2019","forty",40,"atíno áhaandɛ","atinoahaande","( 'two twenties')","false","{CL′}10⋅{CL′}2",NA,NA,"Africa064-AtlanticCongo-numerals-nugu1242-1.csv","EAT","10⋅2","10⋅2","abs(10*2)",1,20,FALSE
"17","numerals-nugu1242-1-fifty-1","numerals-nugu1242-1","Chan2019","fifty",50,"atíno áhaandɛ na sɛ́ɔdɔ","atinoahaandenaseodo","","false","({CL′}10⋅{CL′}2)+{and}10",NA,NA,"Africa064-AtlanticCongo-numerals-nugu1242-1.csv","EAT","(10⋅2)+10","(10⋅2)+10","abs(abs(10*2))+10",1,30,FALSE
"18","numerals-nugu1242-1-sixty-1","numerals-nugu1242-1","Chan2019","sixty",60,"atíno ádadɔ","atinoadado","( 'three twenties')","false","{CL′}10⋅{CL′}4",NA,NA,"Africa064-AtlanticCongo-numerals-nugu1242-1.csv","EAT","10⋅4","10⋅4","abs(10*4)",1,40,FALSE
"19","numerals-nugu1242-1-seventy-1","numerals-nugu1242-1","Chan2019","seventy",70,"atíno ádadɔ na sɛ́ɔdɔ","atinoadadonaseodo","","false","({CL′}10⋅{CL′}4)+{and}10",NA,NA,"Africa064-AtlanticCongo-numerals-nugu1242-1.csv","EAT","(10⋅4)+10","(10⋅4)+10","abs(abs(10*4))+10",1,50,FALSE
"20","numerals-nugu1242-1-eighty-1","numerals-nugu1242-1","Chan2019","eighty",80,"atíno énni","atinoenni","( 'four twenties')","false","{CL′}10⋅{CL′}5",NA,NA,"Africa064-AtlanticCongo-numerals-nugu1242-1.csv","EAT","10⋅5","10⋅5","abs(10*5)",1,50,FALSE
"21","numerals-nugu1242-1-ninety-1","numerals-nugu1242-1","Chan2019","ninety",90,"atíno énni na sɛ́ɔdɔ","atinoenninaseodo","","false","({CL′}10⋅{CL′}5)+{and}10",NA,NA,"Africa064-AtlanticCongo-numerals-nugu1242-1.csv","EAT","(10⋅5)+10","(10⋅5)+10","abs(abs(10*5))+10",1,60,FALSE
"22","numerals-tuki1240-1-twentysix-1","numerals-tuki1240-1","Chan2019","twentysix",26,"mɔɔ́mává na mwárátó","moomavanamwarato","","false","(10′⋅2′)+{+}5",NA,NA,"Africa066-AtlanticCongo-numerals-tuki1240-1.csv","EAT","(10′⋅2′)+5","(10⋅2)+5","abs(abs(10*2))+5",1,25,FALSE
"23","numerals-kany1247-1-sixty-1","numerals-kany1247-1","Chan2019","sixty",60,"makùmy musamban","makumymusamban","","false","{CL‴}10⋅{CL′}5′+1′",NA,NA,"Africa073-AtlanticCongo-numerals-kany1247-1.csv","EAT","10⋅5′+1′","10⋅5+1","abs(10*5)+1",1,51,FALSE
"24","numerals-kany1247-1-seventy-1","numerals-kany1247-1","Chan2019","seventy",70,"makùmy sàmbwiibìdy","makumysambwiibidy","","false","{CL‴}10⋅5″+2",NA,NA,"Africa073-AtlanticCongo-numerals-kany1247-1.csv","EAT","10⋅5″+2","10⋅5+2","abs(10*5)+2",1,52,FALSE
