ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss,
numerals-yala1263-1-one-1,numerals-yala1263-1,Chan2019,one,1,ósè,ose,,FALSE,1,,,
numerals-yala1263-1-two-1,numerals-yala1263-1,Chan2019,two,2,ɛ̀pà,epa,,FALSE,{CL}2,,,
numerals-yala1263-1-three-1,numerals-yala1263-1,Chan2019,three,3,ɛ̀ta,eta,,FALSE,{CL}3,,,
numerals-yala1263-1-four-1,numerals-yala1263-1,Chan2019,four,4,ɛ̀nɛ̀,ene,,FALSE,{CL}4,,,
numerals-yala1263-1-five-1,numerals-yala1263-1,Chan2019,five,5,èrwɔ,erwo,,FALSE,{CL}5,,,
numerals-yala1263-1-six-1,numerals-yala1263-1,Chan2019,six,6,èríwi,eriwi,,FALSE,{CL’}6,,,
numerals-yala1263-1-seven-1,numerals-yala1263-1,Chan2019,seven,7,àrapà,arapa,,FALSE,{CL’}5’+2,,,
numerals-yala1263-1-eight-1,numerals-yala1263-1,Chan2019,eight,8,àratá,arata,,FALSE,{CL’}5’+3,,,
numerals-yala1263-1-nine-1,numerals-yala1263-1,Chan2019,nine,9,àranɛ̀,arane,,FALSE,{CL’}5’+4,,,
numerals-yala1263-1-ten-1,numerals-yala1263-1,Chan2019,ten,10,ìɡwó,igwo,,FALSE,{CL”}10,,,
numerals-yala1263-1-eleven-1,numerals-yala1263-1,Chan2019,eleven,11,ìɡwólósè,igwolose,,FALSE,{CL”}10+{and}1,,,
numerals-yala1263-1-twelve-1,numerals-yala1263-1,Chan2019,twelve,12,ìɡwólɛ̀pà,igwolepa,,FALSE,{CL”}10+{and}2,,,
numerals-yala1263-1-thirteen-1,numerals-yala1263-1,Chan2019,thirteen,13,ìɡwólɛ̀ta,igwoleta,,FALSE,{CL”}10+{and}3,,,
numerals-yala1263-1-fourteen-1,numerals-yala1263-1,Chan2019,fourteen,14,ìɡwólɛ̀nɛ̀,igwolene,,FALSE,{CL”}10+{and}4,,,
numerals-yala1263-1-fifteen-1,numerals-yala1263-1,Chan2019,fifteen,15,ìɡwólèrwɔ,igwolerwo,,FALSE,{CL”}10+{and}5,,,
numerals-yala1263-1-sixteen-1,numerals-yala1263-1,Chan2019,sixteen,16,ìɡwólèríwi,igwoleriwi,,FALSE,{CL”}10+{and}6,,,
numerals-yala1263-1-seventeen-1,numerals-yala1263-1,Chan2019,seventeen,17,ìɡwólàrapà,igwolarapa,,FALSE,{CL”}10+{and}5’+2,,,
numerals-yala1263-1-eighteen-1,numerals-yala1263-1,Chan2019,eighteen,18,ìɡwólàratá,igwolarata,,FALSE,{CL”}10+{and}5’+3,,,
numerals-yala1263-1-nineteen-1,numerals-yala1263-1,Chan2019,nineteen,19,ìɡwólàranɛ̀,igwolarane,,FALSE,{CL”}10+{and}5’+4,,,
numerals-yala1263-1-twenty-1,numerals-yala1263-1,Chan2019,twenty,20,òfù,ofu,,FALSE,20,,,
numerals-yala1263-1-twentyone-1,numerals-yala1263-1,Chan2019,twentyone,21,òfùsǒsísè,ofusosise,,FALSE,20+1,,,
numerals-yala1263-1-twentytwo-1,numerals-yala1263-1,Chan2019,twentytwo,22,òfùsɛ̀pà,ofusepa,,FALSE,20+2,,,
numerals-yala1263-1-twentythree-1,numerals-yala1263-1,Chan2019,twentythree,23,òfùsɛ̀ta,ofuseta,,FALSE,20+3,,,
numerals-yala1263-1-twentyfour-1,numerals-yala1263-1,Chan2019,twentyfour,24,òfùsɛ̀nɛ̀,ofusene,,FALSE,20+4,,,
numerals-yala1263-1-twentyfive-1,numerals-yala1263-1,Chan2019,twentyfive,25,òfùsèrwɔ,ofuserwo,,FALSE,20+5,,,
numerals-yala1263-1-twentysix-1,numerals-yala1263-1,Chan2019,twentysix,26,òfùsèríwi,ofuseriwi,,FALSE,20+6,,,
numerals-yala1263-1-twentyseven-1,numerals-yala1263-1,Chan2019,twentyseven,27,òfùsàrapà,ofusarapa,,FALSE,20+5’+2,,,
numerals-yala1263-1-twentyeight-1,numerals-yala1263-1,Chan2019,twentyeight,28,òfùsàratá,ofusarata,,FALSE,20+5’+3,,,
numerals-yala1263-1-twentynine-1,numerals-yala1263-1,Chan2019,twentynine,29,òfùsàranɛ̀,ofusarane,,FALSE,20+5’+4,,,
numerals-yala1263-1-thirty-1,numerals-yala1263-1,Chan2019,thirty,30,òfùsìɡwó,ofusigwo,( 20+10 ),FALSE,20+10,,,
numerals-yala1263-1-forty-1,numerals-yala1263-1,Chan2019,forty,40,òfùɛ̀pà,ofuepa,( 20 x 2 ),FALSE,20·2,,,
numerals-yala1263-1-fifty-1,numerals-yala1263-1,Chan2019,fifty,50,òfɛ̀pàsìɡwó,ofepasigwo,( 20+10 ),FALSE,(20·2)+10,,,
numerals-yala1263-1-sixty-1,numerals-yala1263-1,Chan2019,sixty,60,òfùɛ̀ta,ofueta,( 20 x 3 ),FALSE,20·3,,,
numerals-yala1263-1-seventy-1,numerals-yala1263-1,Chan2019,seventy,70,òfùɛ̀taɡwó,ofuetagwo,( 20+10 ),FALSE,(20·3)+10,,,
numerals-yala1263-1-eighty-1,numerals-yala1263-1,Chan2019,eighty,80,òfùɛnɛ̀,ofuene,( 20 x 4 ),FALSE,20·4,,,
numerals-yala1263-1-ninety-1,numerals-yala1263-1,Chan2019,ninety,90,òfùɛnɛ̀sìɡwó,ofuenesigwo,( 20+10 ),FALSE,(20·4)+10,,,
numerals-yala1263-1-hundred-1,numerals-yala1263-1,Chan2019,hundred,100,òfùèrwɔ̀,ofuerwo,( 20 x 5 ),FALSE,20·5,,,
numerals-yala1263-1-twohundred-1,numerals-yala1263-1,Chan2019,twohundred,200,òfùìɡwó,ofuigwo,,FALSE,20·10,,,
numerals-yala1263-1-thousand-1,numerals-yala1263-1,Chan2019,thousand,1000,únɔ̀ɛ̀pàsìòfùìɡwó,unoepasiofuigwo,,FALSE,100·10,insufficient data,,
numerals-yala1263-1-twothousand-1,numerals-yala1263-1,Chan2019,twothousand,2000,únɔ̀ ɛ̀rwɔ̀,unoerwo,,FALSE,400·5,,,
