Glottocode,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
ampa1238,numerals-ampa1238-1-one-1,numerals-ampa1238-1,Chan2019,one,1,tòːmà,toma,NA,FALSE,1,NA,NA
ampa1238,numerals-ampa1238-1-two-1,numerals-ampa1238-1,Chan2019,two,2,nìːŋgà,ningga,NA,FALSE,2,NA,NA
ampa1238,numerals-ampa1238-1-three-1,numerals-ampa1238-1,Chan2019,three,3,táːndí,tandi,NA,FALSE,3,NA,NA
ampa1238,numerals-ampa1238-1-four-1,numerals-ampa1238-1,Chan2019,four,4,tʃɛ̀ːdʒɔ̀,tsedzo,(Boui),FALSE,4,NA,NA
ampa1238,numerals-ampa1238-1-four-2,numerals-ampa1238-1,Chan2019,four,4,kɛ̀ːdʒɔ̀,kedzo,(Ningo),FALSE,4’,NA,NA
ampa1238,numerals-ampa1238-1-five-1,numerals-ampa1238-1,Chan2019,five,5,núː,nu,NA,FALSE,5,NA,NA
ampa1238,numerals-ampa1238-1-six-1,numerals-ampa1238-1,Chan2019,six,6,kùlèjⁿ,kulejn,NA,FALSE,6,NA,NA
ampa1238,numerals-ampa1238-1-seven-1,numerals-ampa1238-1,Chan2019,seven,7,sɔ́ːj,soj,NA,FALSE,7,NA,NA
ampa1238,numerals-ampa1238-1-eight-1,numerals-ampa1238-1,Chan2019,eight,8,séːlé,sele,(Boui),FALSE,8,NA,NA
ampa1238,numerals-ampa1238-1-eight-2,numerals-ampa1238-1,Chan2019,eight,8,síjélé,sijele,(Ningo),FALSE,8,NA,NA
ampa1238,numerals-ampa1238-1-nine-1,numerals-ampa1238-1,Chan2019,nine,9,tóːwá,towa,NA,FALSE,9,NA,NA
ampa1238,numerals-ampa1238-1-ten-1,numerals-ampa1238-1,Chan2019,ten,10,pìjɔ̀lù,pijolu,NA,FALSE,10,NA,NA
ampa1238,numerals-ampa1238-1-eleven-1,numerals-ampa1238-1,Chan2019,eleven,11,pɛ̀-sùgɔ́ tòːmà,pesugotoma,NA,FALSE,10+1,NA,NA
ampa1238,numerals-ampa1238-1-twelve-1,numerals-ampa1238-1,Chan2019,twelve,12,pɛ̀-sùgɔ́ nìːŋgà,pesugoningga,NA,FALSE,10+2,NA,NA
ampa1238,numerals-ampa1238-1-thirteen-1,numerals-ampa1238-1,Chan2019,thirteen,13,pɛ̀-sùgɔ́ tàːndì,pesugotandi,NA,FALSE,10+3,NA,NA
ampa1238,numerals-ampa1238-1-fourteen-1,numerals-ampa1238-1,Chan2019,fourteen,14,pɛ̀-sùgɔ́ kɛ̀ːdʒɔ̀,pesugokedzo,(Ningo),FALSE,10+4,edited: kɛ̀ːdʒɔ̀ > pɛ̀-sùgɔ́ kɛ̀ːdʒɔ̀,NA
ampa1238,numerals-ampa1238-1-fourteen-2,numerals-ampa1238-1,Chan2019,fourteen,14,pɛ̀-sùgɔ́ tʃɛ̀ːdʒɔ̀,pesugotsedzo,(Boui),FALSE,10+4',NA,NA
ampa1238,numerals-ampa1238-1-fifteen-1,numerals-ampa1238-1,Chan2019,fifteen,15,pɛ̀-sùgɔ́ nùː,pesugonu,NA,FALSE,10+5,NA,NA
ampa1238,numerals-ampa1238-1-sixteen-1,numerals-ampa1238-1,Chan2019,sixteen,16,pɛ̀-sùgɔ́ kùlèjⁿ,pesugokulejn,NA,FALSE,10+6,NA,NA
ampa1238,numerals-ampa1238-1-seventeen-1,numerals-ampa1238-1,Chan2019,seventeen,17,pɛ̀-sùgɔ́ sɔ́ːj,pesugosoj,NA,FALSE,10+7,NA,NA
ampa1238,numerals-ampa1238-1-eighteen-1,numerals-ampa1238-1,Chan2019,eighteen,18,pɛ̀-sùgɔ́ séːlé,pesugosele,(Boui),FALSE,10+8,NA,NA
ampa1238,numerals-ampa1238-1-eighteen-2,numerals-ampa1238-1,Chan2019,eighteen,18,pɛ̀-sùgɔ́ síjélé,pesugosijele,(Ningo),FALSE,10+8,NA,NA
ampa1238,numerals-ampa1238-1-nineteen-1,numerals-ampa1238-1,Chan2019,nineteen,19,pɛ̀-sùgɔ́ tóːwá,pesugotowa,NA,FALSE,10+9,NA,NA
ampa1238,numerals-ampa1238-1-twenty-1,numerals-ampa1238-1,Chan2019,twenty,20,pɛ́ːnɛ́ːŋɡá,penengga,NA,FALSE,10·2,NA,NA
ampa1238,numerals-ampa1238-1-thirty-1,numerals-ampa1238-1,Chan2019,thirty,30,pé-ráːndí,perandi,NA,FALSE,10·3,NA,NA
ampa1238,numerals-ampa1238-1-forty-1,numerals-ampa1238-1,Chan2019,forty,40,dɛ́ː,de,NA,FALSE,40,NA,NA
