ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss,
numerals-kuwa1247-1-one-1,numerals-kuwa1247-1,Chan2019,one,1,dee,dee,,FALSE,1,,,
numerals-kuwa1247-1-two-1,numerals-kuwa1247-1,Chan2019,two,2,sɔ̃r,sor,,FALSE,2,,,
numerals-kuwa1247-1-three-1,numerals-kuwa1247-1,Chan2019,three,3,tãã̀,taa,,FALSE,3,,,
numerals-kuwa1247-1-four-1,numerals-kuwa1247-1,Chan2019,four,4,ɲìjɛ̀hɛ,nijehe,,FALSE,4,,,
numerals-kuwa1247-1-five-1,numerals-kuwa1247-1,Chan2019,five,5,wàyɔ̀ɔ,wayoo,,FALSE,5,,,
numerals-kuwa1247-1-six-1,numerals-kuwa1247-1,Chan2019,six,6,wɔ̀rfɔlɛ̀,worfole,( 5 + 1 ),FALSE,5’+1’,5’ = new form?…, 1’ = d > l, vowel deletion,,
numerals-kuwa1247-1-seven-1,numerals-kuwa1247-1,Chan2019,seven,7,kɔrlɔrɔ̃r,korloror,( 5 + 2 ),FALSE,5”+2’,5” = w > k, f > l, 2’ = s > r,,
numerals-kuwa1247-1-eight-1,numerals-kuwa1247-1,Chan2019,eight,8,kwatãã̀,kwataa,( 5 + 3 ),FALSE,5”’+3,,,
numerals-kuwa1247-1-nine-1,numerals-kuwa1247-1,Chan2019,nine,9,kɔ̃yĩ̀yɛ̀hɛ,koyiyehe,( 5 + 4 ),FALSE,5””+4’,4’ = n > y, j > y,
numerals-kuwa1247-1-ten-1,numerals-kuwa1247-1,Chan2019,ten,10,kowaa,kowaa,,FALSE,10,,5””·2”,
numerals-kuwa1247-1-eleven-1,numerals-kuwa1247-1,Chan2019,eleven,11,kowaa kwai kɔ̀rlɛ̃h,kowaakwaikorleh,,FALSE,10+{and}1”,what function is “kor” another ligature, a class maker?,(5””·2”)+{+}1”
numerals-kuwa1247-1-twelve-1,numerals-kuwa1247-1,Chan2019,twelve,12,kowaa kwai sɔ̃r,kowaakwaisor,,FALSE,10+{and}2,,(5””·2”)+{+}2,
