;ID;Language_ID;Source;Parameter_ID;NumberValue;Value;Form;Comment_contributor;Loan;Gloss;Alternate_Gloss;Comment_Glosser
1;numerals-tswa1255-1-one-1;numerals-tswa1255-1;Chan2019;one;1;-nʼwè;nwe;;FALSE;1;1;STARTED INSERTING PLURALS HERE BELOW - PROBABLY ABOVE
2;numerals-tswa1255-1-two-1;numerals-tswa1255-1;Chan2019;two;2;-mbirhí;mbirhi;;FALSE;2;2;NA
3;numerals-tswa1255-1-three-1;numerals-tswa1255-1;Chan2019;three;3;-nhárhù;nharhu;;FALSE;3;3;NA
4;numerals-tswa1255-1-four-1;numerals-tswa1255-1;Chan2019;four;4;-múnè;mune;;FALSE;4;4;NA
5;numerals-tswa1255-1-five-1;numerals-tswa1255-1;Chan2019;five;5;ntlhánù;ntlhanu;;FALSE;5;5;NA
6;numerals-tswa1255-1-six-1;numerals-tswa1255-1;Chan2019;six;6;ntlhánù ni -nʼwè;ntlhanuninwe;( 5 + 1 );FALSE;5+{+}1;5 + 1;NA
7;numerals-tswa1255-1-seven-1;numerals-tswa1255-1;Chan2019;seven;7;ntlhánù ni-mbìrhì;ntlhanunimbirhi;( 5 + 2 );FALSE;5+{+}2;5 + 2;NA
8;numerals-tswa1255-1-eight-1;numerals-tswa1255-1;Chan2019;eight;8;ntlhánù ni -nhárhù;ntlhanuninharhu;( 5 + 3 );FALSE;5+{+}3;5 + 3;NA
9;numerals-tswa1255-1-nine-1;numerals-tswa1255-1;Chan2019;nine;9;ntlhánù ni -múnè;ntlhanunimune;( 5 + 4 );FALSE;5+{+}4;5 + 4;NA
10;numerals-tswa1255-1-ten-1;numerals-tswa1255-1;Chan2019;ten;10;khúmè;khume;;FALSE;10;10;NA
11;numerals-tswa1255-1-eleven-1;numerals-tswa1255-1;Chan2019;eleven;11;khúmè ni dí -nʼwè;khumenidinwe;;FALSE;10+{+}1;10 + 1;di? ni is a conjunction
12;numerals-tswa1255-1-twelve-1;numerals-tswa1255-1;Chan2019;twelve;12;khúmè ni màbídì;khumenimabidi;;FALSE;10+{+}{PLU}2’;10 + 2;NA
13;numerals-tswa1255-1-thirteen-1;numerals-tswa1255-1;Chan2019;thirteen;13;khúmè ni màrárú;khumenimararu;;FALSE;10+{+}{PLU}3’;10 + 3;NA
14;numerals-tswa1255-1-fourteen-1;numerals-tswa1255-1;Chan2019;fourteen;14;khúmè ni mùní;khumenimuni;;FALSE;10+4’;10 + 4;NA
15;numerals-tswa1255-1-fifteen-1;numerals-tswa1255-1;Chan2019;fifteen;15;khúmè ni;khumeni;;FALSE;10+{+}[5]{?};10 + 5?;five omitted
16;numerals-tswa1255-1-sixteen-1;numerals-tswa1255-1;Chan2019;sixteen;16;khúmè ni ntlhánù ni -nʼwè;khumenintlhanuninwe;;FALSE;10+{+}5+{+}1;10 + (5 + 1);NA
17;numerals-tswa1255-1-seventeen-1;numerals-tswa1255-1;Chan2019;seventeen;17;khúme ni ntlhánù ni -mbìrhi;khumenintlhanunimbirhi;;FALSE;10+{+}5+{+}2;10 + (5 + 2);NA
18;numerals-tswa1255-1-eighteen-1;numerals-tswa1255-1;Chan2019;eighteen;18;khúme ni ntlhánù ni -nhárhù;khumenintlhanuninharhu;;FALSE;10+{+}5+{+}3;10 + (5 + 3);NA
19;numerals-tswa1255-1-nineteen-1;numerals-tswa1255-1;Chan2019;nineteen;19;khúme ni ntlhánù ni -múnè;khumenintlhanunimune;;FALSE;10+{+}5+{+}4;10 + (5 + 4);NA
20;numerals-tswa1255-1-twenty-1;numerals-tswa1255-1;Chan2019;twenty;20;màkúmè màmbírhì;makumemambirhi;;FALSE;{PLU}10·{PLU}2;{PLU}10·2{PLU};ma = ligature or plural marker?
21;numerals-tswa1255-1-twentyone-1;numerals-tswa1255-1;Chan2019;twentyone;21;màkúmè màmbírhì ni -nʼwè;makumemambirhininwe;;FALSE;{PLU}10·{PLU}2+{+}1;(10 · 2) + 1;NA
22;numerals-tswa1255-1-twentytwo-1;numerals-tswa1255-1;Chan2019;twentytwo;22;màkúmè màmbírhì ni -mbìrhì;makumemambirhinimbirhi;;FALSE;{PLU}10·{PLU}2+{+}2;(10 · 2) + 2;NA
23;numerals-tswa1255-1-twentythree-1;numerals-tswa1255-1;Chan2019;twentythree;23;màkúmè màmbírhì ni -nhárhù;makumemambirhininharhu;;FALSE;{PLU}10·{PLU}2+{+}3;(10 · 2) + 3;NA
24;numerals-tswa1255-1-twentyfour-1;numerals-tswa1255-1;Chan2019;twentyfour;24;màkúmè màmbírhì ni -múnè;makumemambirhinimune;;FALSE;{PLU}10·{PLU}2+{+}4;(10 · 2) + 4;NA
25;numerals-tswa1255-1-twentyfive-1;numerals-tswa1255-1;Chan2019;twentyfive;25;màkúmè màmbírhì ni ntlhánù;makumemambirhinintlhanu;;FALSE;{PLU}10·{PLU}2+{+}5;(10 · 2) + 5;NA
26;numerals-tswa1255-1-twentysix-1;numerals-tswa1255-1;Chan2019;twentysix;26;màkúmè màmbírhì ni ntlhánù ni -nʼwè;makumemambirhinintlhanuninwe;;FALSE;({PLU}10·{PLU}2)+{+}5’+{+}1;(10 · 2) + (5 + 1);abbreviated five
27;numerals-tswa1255-1-twentyseven-1;numerals-tswa1255-1;Chan2019;twentyseven;27;màkúmè màmbírhì ni ntlhánù ni -mbìrhì;makumemambirhinintlhanunimbirhi;;FALSE;({PLU}10·{PLU}2)+{+}5’+{+}2;(10 · 2) + (5 + 2);NA
28;numerals-tswa1255-1-twentyeight-1;numerals-tswa1255-1;Chan2019;twentyeight;28;màkúmè màmbírhì ni ntlhánù ni -nhárhù;makumemambirhinintlhanuninharhu;;FALSE;({PLU}10·{PLU}2)+{+}5’+{+}3;(10 · 2) + (5 + 3);five abbreviated smh
29;numerals-tswa1255-1-twentynine-1;numerals-tswa1255-1;Chan2019;twentynine;29;màkúmè màmbírhì ni ntlhánù ni -múnè;makumemambirhinintlhanunimune;;FALSE;({PLU}10·{PLU}2)+{+}5’+{+}4;(10 · 2) + (5 + 4);NA
30;numerals-tswa1255-1-thirty-1;numerals-tswa1255-1;Chan2019;thirty;30;màkúmè mànhárhù;makumemanharhu;;FALSE;{PLU}10·{PLU}3;10 · 3;NA
31;numerals-tswa1255-1-forty-1;numerals-tswa1255-1;Chan2019;forty;40;màkúmè wà màmúnè;makumewamamune;;FALSE;{PLU}10·{·}{PLU}4;10 · 4;NA
32;numerals-tswa1255-1-fifty-1;numerals-tswa1255-1;Chan2019;fifty;50;màkúmè wà màkúmè;makumewamakume;;FALSE;{PLU}10·{·}{PLU}5;10 · 5;NA
