,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Alternate_Gloss,Comment_Glosser
1,numerals-tumb1250-1-one-1,numerals-tumb1250-1,Chan2019,one,1,ka-môza,kamoza,,FALSE,{CL}1,1,NA
2,numerals-tumb1250-1-two-1,numerals-tumb1250-1,Chan2019,two,2,tu-ŵîri,tuwiri,,FALSE,{CL}2,2,NA
3,numerals-tumb1250-1-three-1,numerals-tumb1250-1,Chan2019,three,3,tu-tâtu,tutatu,,FALSE,{CL}3,3,NA
4,numerals-tumb1250-1-four-1,numerals-tumb1250-1,Chan2019,four,4,tu-nâyi,tunayi,,FALSE,{CL}4,4,NA
5,numerals-tumb1250-1-five-1,numerals-tumb1250-1,Chan2019,five,5,tu-nkʰonde,tunkhonde,,FALSE,{CL}5,5,NA
6,numerals-tumb1250-1-six-1,numerals-tumb1250-1,Chan2019,six,6,tu-nkʰonde na ka-môza,tunkhondenakamoza,( 5 + 1 ),FALSE,{CL}5+{+}{CL}1,5 + 1,NA
7,numerals-tumb1250-1-seven-1,numerals-tumb1250-1,Chan2019,seven,7,tu-nkʰonde na tu-ŵîri,tunkhondenatuwiri,( 5 + 2 ),FALSE,{CL}5+{+}{CL}2,5 + 2,NA
8,numerals-tumb1250-1-eight-1,numerals-tumb1250-1,Chan2019,eight,8,tu-nkʰonde na tu-tâtu,tunkhondenatutatu,( 5 + 3 ),FALSE,{CL}5+{+}{CL}3,5 + 3,NA
9,numerals-tumb1250-1-nine-1,numerals-tumb1250-1,Chan2019,nine,9,tu-nkʰonde na tu-nâyi,tunkhondenatunayi,( 5 + 4 ),FALSE,{CL}5+{+}{CL}4,5 + 4,NA
10,numerals-tumb1250-1-ten-1,numerals-tumb1250-1,Chan2019,ten,10,kʰûmi,khumi,,FALSE,10,10,NA
11,numerals-tumb1250-1-eleven-1,numerals-tumb1250-1,Chan2019,eleven,11,kʰûmi na ka-môza,khuminakamoza,,FALSE,10+{+}{CL}1,10 + 1,NA
12,numerals-tumb1250-1-twelve-1,numerals-tumb1250-1,Chan2019,twelve,12,kʰûmi na tu-ŵîri,khuminatuwiri,,FALSE,10+{+}{CL}2,10 + 2,NA
13,numerals-tumb1250-1-thirteen-1,numerals-tumb1250-1,Chan2019,thirteen,13,kʰûmi na tu-tâtu,khuminatutatu,,FALSE,10+{+}{CL}3,10 + 3,NA
14,numerals-tumb1250-1-fourteen-1,numerals-tumb1250-1,Chan2019,fourteen,14,kʰûmi na tu-nâyi,khuminatunayi,,FALSE,10+{+}{CL}4,10 + 4,NA
15,numerals-tumb1250-1-fifteen-1,numerals-tumb1250-1,Chan2019,fifteen,15,kʰûmi na tu-nkʰonde,khuminatunkhonde,,FALSE,10+{+}{CL}5,10 + 5,NA
16,numerals-tumb1250-1-sixteen-1,numerals-tumb1250-1,Chan2019,sixteen,16,kʰûmi na tu-nkʰonde na ka-môza,khuminatunkhondenakamoza,,FALSE,10+{+}{CL}5+{+}{CL}1,10 + (5 + 1),NA
