"Language_ID","ID","Parameter_ID","Value","Form","Gloss","Alternate_Gloss","Comment_Glosser"
"bemb1257-1","bemb1257-1-1-1",1,"cìmò","cìmò","{CL}1",NA,NA
"bemb1257-1","bemb1257-1-2-1",2,"fìbìlì","fìbìlì","{CL’}2",NA,NA
"bemb1257-1","bemb1257-1-3-1",3,"fìtàtù","fìtàtù","{CL’}3",NA,NA
"bemb1257-1","bemb1257-1-4-1",4,"fínè","fínè","{CL’}4",NA,NA
"bemb1257-1","bemb1257-1-5-1",5,"físáánò","físáánò","{CL’}5","5",NA
"bemb1257-1","bemb1257-1-6-1",6,"mùtándá","mùtándá","{CL”}6",NA,NA
"bemb1257-1","bemb1257-1-7-1",7,"cínè-lùbálí","cínè-lùbálí","{CL’}4+{CL?}3’","{CL”}4+{CL?}3’","lù"
"bemb1257-1","bemb1257-1-8-1",8,"cínè-kònsè","cínè-kònsè","{CL’}4+4’",NA,"(lit: '4 on both sides' )"
"bemb1257-1","bemb1257-1-9-1",9,"pààbúlá","pààbúlá","9","[10]-1'","(lit: '1 is missing')"
"bemb1257-1","bemb1257-1-10-1",10,"íkúmí lìmò","íkúmí lìmò","{CL”’}10·{CL””}1",NA,NA
"bemb1257-1","bemb1257-1-11-1",11,"íkúmí nà cìmò","íkúmí nà cìmò","{CL”}10+{+}{CL}1",NA,NA
"bemb1257-1","bemb1257-1-12-1",12,"íkúmí nà fìbìlì","íkúmí nà fìbìlì","{CL”}10+{+}{CL’}2",NA,NA
"bemb1257-1","bemb1257-1-13-1",13,"íkúmí nà fìtàtù","íkúmí nà fìtàtù","{CL”}10+{+}{CL’}3",NA,NA
"bemb1257-1","bemb1257-1-14-1",14,"íkúmí nà fínè","íkúmí nà fínè","{CL”}10+{+}{CL’}4",NA,NA
"bemb1257-1","bemb1257-1-15-1",15,"íkúmí nà físáánò","íkúmí nà físáánò","{CL”}10+{+}{CL’}5",NA,NA
"bemb1257-1","bemb1257-1-16-1",16,"íkúmí nà mùtándá","íkúmí nà mùtándá","{CL”}10+{+}{CL’}6",NA,NA
"bemb1257-1","bemb1257-1-17-1",17,"íkúmí nà cínè-lùbálí","íkúmí nà cínè-lùbálí","{CL”}10+{+}{CL}4+{CL?}3’",NA,NA
"bemb1257-1","bemb1257-1-18-1",18,"íkúmí nà cínè-kònsè","íkúmí nà cínè-kònsè","{CL”}10+{+}{CL}4+4’",NA,NA
"bemb1257-1","bemb1257-1-19-1",19,"íkúmí nà pààbúlá","íkúmí nà pààbúlá","{CL”}10+{+}0",NA,NA
"bemb1257-1","bemb1257-1-20-1",20,"ámàkúmí yà bìlì","ámàkúmí yà bìlì","{CL””’}10·{·}2",NA,NA
"bemb1257-1","bemb1257-1-21-1",21,"ámàkúmí yà bìlì nà cìmò","ámàkúmí yà bìlì nà cìmò","({CL””’}10·{·}2)+{+}{CL}1",NA,NA
"bemb1257-1","bemb1257-1-22-1",22,"ámàkúmí yà bìlì nà fìbìlì","ámàkúmí yà bìlì nà fìbìlì","({CL””’}10·{·}2)+{+}{CL’}2",NA,NA
"bemb1257-1","bemb1257-1-23-1",23,"ámàkúmí yà bìlì nà fìtàtù","ámàkúmí yà bìlì nà fìtàtù","({CL””’}10·{·}2)+{+}{CL’}3",NA,NA
"bemb1257-1","bemb1257-1-24-1",24,"ámàkúmí yà bìlì nà fínè","ámàkúmí yà bìlì nà fínè","({CL””’}10·{·}2)+{+}{CL’}4",NA,NA
"bemb1257-1","bemb1257-1-25-1",25,"ámàkúmí yà bìlì nà físáánò","ámàkúmí yà bìlì nà físáánò","({CL””’}10·{·}2)+{+}{CL’}5",NA,NA
"bemb1257-1","bemb1257-1-26-1",26,"ámàkúmí yà bìlì nà mùtándá","ámàkúmí yà bìlì nà mùtándá","({CL””’}10·{·}2)+{+}{CL”}6",NA,NA
"bemb1257-1","bemb1257-1-27-1",27,"ámàkúmí yà bìlì nà cínè-lùbálí","ámàkúmí yà bìlì nà cínè-lùbálí","({CL””’}10·{·}2)+{+}{CL}4+{CL?}3’",NA,NA
"bemb1257-1","bemb1257-1-28-1",28,"ámàkúmí yà bìlì nà cínè-kònsè","ámàkúmí yà bìlì nà cínè-kònsè","({CL””’}10·{·}2)+{+}{CL}4+4’",NA,NA
"bemb1257-1","bemb1257-1-29-1",29,"ámàkúmí yà bìlì nà pààbúlá","ámàkúmí yà bìlì nà pààbúlá","({CL””’}10·{·}2)+{+}9",NA,NA
"bemb1257-1","bemb1257-1-30-1",30,"ámàkúmí yà tatu","ámàkúmí yà tatu","{CL””’}10·{·}3",NA,NA
"bemb1257-1","bemb1257-1-40-1",40,"ámàkúmí yà ne","ámàkúmí yà ne","{CL””’}10·{·}4",NA,NA
"bemb1257-1","bemb1257-1-50-1",50,"ámàkúmí yà saano","ámàkúmí yà saano","{CL””’}10·{·}5",NA,NA
"bemb1257-1","bemb1257-1-60-1",60,"ámàkúmí mùtándá","ámàkúmí mùtándá","{CL””’}10·{·}{CL”}6",NA,NA
"bemb1257-1","bemb1257-1-70-1",70,"ámàkúmí cínè-lùbálí","ámàkúmí cínè-lùbálí","{CL””’}10·{·}({CL”}4+{CL?}3’)",NA,NA
"bemb1257-1","bemb1257-1-80-1",80,"ámàkúmí cínè-kònsè","ámàkúmí cínè-kònsè","{CL””’}10·{·}({CL}4+4’)",NA,NA
"bemb1257-1","bemb1257-1-90-1",90,"ámàkúmí pààbúlá","ámàkúmí pààbúlá","{CL””’}10·{·}9",NA,NA
"bemb1257-1","bemb1257-1-100-1",100,"ùmwándá ùmò","ùmwándá ùmò","{CL”""""}1000·{CL”""""}1",NA,NA
"bemb1257-1","bemb1257-1-200-1",200,"ìmyándá ìbìlì","ìmyándá ìbìlì","{CL”}100·{CL""}2",NA,NA
"bemb1257-1","bemb1257-1-1000-1",1000,"ìkànà lìmò","ìkànà lìmò","{CL”}1000·{CL”""}1",NA,NA
"bemb1257-1","bemb1257-1-2000-1",2000,"àmákànà yà bìlì","àmákànà yà bìlì","{CL”}1000·{·}{CL””}2",NA,NA
