;ID;Language_ID;Source;Parameter_ID;NumberValue;Value;Form;Comment_contributor;Loan;Gloss;Alternate_Gloss;Comment_Glosser
1;numerals-tete1250-1-one-1;numerals-tete1250-1;Chan2019;one;1;ótɔy;otoy;;FALSE;1;NA;NA
2;numerals-tete1250-1-two-1;numerals-tete1250-1;Chan2019;two;2;haénde;haende;;FALSE;2;NA;NA
3;numerals-tete1250-1-three-1;numerals-tete1250-1;Chan2019;three;3;hasátu;hasatu;;FALSE;3;NA;NA
4;numerals-tete1250-1-four-1;numerals-tete1250-1;Chan2019;four;4;anéy;aney;;FALSE;4;NA;NA
5;numerals-tete1250-1-five-1;numerals-tete1250-1;Chan2019;five;5;atánu;atanu;;FALSE;{CL}5;5;NA
6;numerals-tete1250-1-six-1;numerals-tete1250-1;Chan2019;six;6;asamále;asamale;;FALSE;{CL’}5’+1’;5 + [1];NA
7;numerals-tete1250-1-seven-1;numerals-tete1250-1;Chan2019;seven;7;esambɛ́ɛ́lé;esambeele;;FALSE;{CL}5’+2’;x + 2;NA
8;numerals-tete1250-1-eight-1;numerals-tete1250-1;Chan2019;eight;8;enáánéyi;enaaneyi;( 2 x 4 ) ?;FALSE;{CL}4’+4;x4;NA
9;numerals-tete1250-1-nine-1;numerals-tete1250-1;Chan2019;nine;9;divwá;divwa;;FALSE;{CL”}9;[10]-1;NA
10;numerals-tete1250-1-ten-1;numerals-tete1250-1;Chan2019;ten;10;díkumi;dikumi;;FALSE;"{CL""}10";NA;NA
11;numerals-tete1250-1-eleven-1;numerals-tete1250-1;Chan2019;eleven;11;díkumi ló ótɔy;dikumilootoy;;FALSE;{CL”}10+{and}1;NA;NA
12;numerals-tete1250-1-twelve-1;numerals-tete1250-1;Chan2019;twelve;12;díkumi lá énde;dikumilaende;;FALSE;"{CL""}10+{and}2";NA;NA
13;numerals-tete1250-1-thirteen-1;numerals-tete1250-1;Chan2019;thirteen;13;díkumi lá asátu;dikumilaasatu;;FALSE;"{CL""}10+{and}3";NA;NA
