,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Comment_contributor,Form,Gloss,Alternate_Gloss,Comment_Glosser
1,numerals-tivv1240-1-one-1,numerals-tivv1240-1,Chan2019,one,1,mɔ́ꜜm,,mɔ́ꜜm,1,,
2,numerals-tivv1240-1-one-2,numerals-tivv1240-1,Chan2019,one,1,mɔ̀ḿ,,mɔ̀ḿ,2,,
3,numerals-tivv1240-1-two-1,numerals-tivv1240-1,Chan2019,two,2,úháꜜr,,úháꜜr,{CL}2,,
4,numerals-tivv1240-1-three-1,numerals-tivv1240-1,Chan2019,three,3,útáŕ,,útáŕ,{CL}4,,
5,numerals-tivv1240-1-four-1,numerals-tivv1240-1,Chan2019,four,4,únjì:,,únjì:,{CL}5,,
6,numerals-tivv1240-1-five-1,numerals-tivv1240-1,Chan2019,five,5,útã́ː,,útã́ː,{CL}5,,
7,numerals-tivv1240-1-six-1,numerals-tivv1240-1,Chan2019,six,6,átérátáŕ,,átérátáŕ,{CL’}3’+3,5+3,
8,numerals-tivv1240-1-seven-1,numerals-tivv1240-1,Chan2019,seven,7,útã́ː kàː úháꜜr,( 5 + 2 ),útã́ː kàː úháꜜr,{CL}5+2,,
9,numerals-tivv1240-1-eight-1,numerals-tivv1240-1,Chan2019,eight,8,ániènì,,ániènì,{CL’}8,4+4,
10,numerals-tivv1240-1-nine-1,numerals-tivv1240-1,Chan2019,nine,9,útã́ː kàː únjì:,( 5 + 4 ),útã́ː kàː únjì:,{CL}5+4,,
11,numerals-tivv1240-1-ten-1,numerals-tivv1240-1,Chan2019,ten,10,púè,,púè,10,,
12,numerals-tivv1240-1-ten-2,numerals-tivv1240-1,Chan2019,ten,10,púwè,,púwè,10’,,
13,numerals-tivv1240-1-eleven-1,numerals-tivv1240-1,Chan2019,eleven,11,púe kàː mɔ́ꜜm,,púe kàː mɔ́ꜜm,10+{+}1,,
14,numerals-tivv1240-1-twelve-1,numerals-tivv1240-1,Chan2019,twelve,12,púe kàː úháꜜr,,púe kàː úháꜜr,10+{+}{CL}2,,
15,numerals-tivv1240-1-thirteen-1,numerals-tivv1240-1,Chan2019,thirteen,13,púe kàː útáŕ,,púe kàː útáŕ,10+{+}{CL}3,,
16,numerals-tivv1240-1-fourteen-1,numerals-tivv1240-1,Chan2019,fourteen,14,púe kàː únjì:,,púe kàː únjì:,10+{+}{CL}4,,
17,numerals-tivv1240-1-fifteen-1,numerals-tivv1240-1,Chan2019,fifteen,15,púe kàː útã́ː,,púe kàː útã́ː,10+{+}{CL}5,,
18,numerals-tivv1240-1-sixteen-1,numerals-tivv1240-1,Chan2019,sixteen,16,púe kàː átérátáŕ,,púe kàː átérátáŕ,10+{+}3’+3,,
19,numerals-tivv1240-1-seventeen-1,numerals-tivv1240-1,Chan2019,seventeen,17,púe kàː útã́ː kàː úháꜜr,,púe kàː útã́ː kàː úháꜜr,10+{CL}5+{+}{CL}2,,
20,numerals-tivv1240-1-eighteen-1,numerals-tivv1240-1,Chan2019,eighteen,18,púe kàː ániènì,,púe kàː ániènì,10+{+}{CL}8,,
21,numerals-tivv1240-1-nineteen-1,numerals-tivv1240-1,Chan2019,nineteen,19,púe kàː útã́ː kàː únjì:,,púe kàː útã́ː kàː únjì:,10+{CL}5+{+}{CL}4,,
22,numerals-tivv1240-1-twenty-1,numerals-tivv1240-1,Chan2019,twenty,20,íkyúnꜜdu,,íkyúnꜜdu,{CL”}20,,
23,numerals-tivv1240-1-twentyone-1,numerals-tivv1240-1,Chan2019,twentyone,21,íkyúnꜜdu kàː mɔ́ꜜm,,íkyúnꜜdu kàː mɔ́ꜜm,{CL”}20+{+}1,,
24,numerals-tivv1240-1-twentytwo-1,numerals-tivv1240-1,Chan2019,twentytwo,22,íkyúnꜜdu kàː úháꜜr,,íkyúnꜜdu kàː úháꜜr,{CL”}20+{+}{CL}2,,
25,numerals-tivv1240-1-twentythree-1,numerals-tivv1240-1,Chan2019,twentythree,23,íkyúnꜜdu kàː útáŕ,,íkyúnꜜdu kàː útáŕ,{CL”}20+{+}{CL}3,,
26,numerals-tivv1240-1-twentyfour-1,numerals-tivv1240-1,Chan2019,twentyfour,24,íkyúnꜜdu kàː únjì:,,íkyúnꜜdu kàː únjì:,{CL”}20+{+}{CL}4,,
27,numerals-tivv1240-1-twentyfive-1,numerals-tivv1240-1,Chan2019,twentyfive,25,íkyúnꜜdu kàː útã́ː,,íkyúnꜜdu kàː útã́ː,{CL”}20+{+}{CL}5,,
28,numerals-tivv1240-1-twentysix-1,numerals-tivv1240-1,Chan2019,twentysix,26,íkyúnꜜdu kàː átérátáŕ,,íkyúnꜜdu kàː átérátáŕ,{CL”}20+{+}3’+3,,
29,numerals-tivv1240-1-twentyseven-1,numerals-tivv1240-1,Chan2019,twentyseven,27,íkyúnꜜdu kàː útã́ː kàː úháꜜr,,íkyúnꜜdu kàː útã́ː kàː úháꜜr,{CL”}20+{CL}5+{+}{CL}2,,
30,numerals-tivv1240-1-twentyeight-1,numerals-tivv1240-1,Chan2019,twentyeight,28,íkyúnꜜdu kàː ániènì,,íkyúnꜜdu kàː ániènì,{CL”}20+{+}{CL}8,,
