,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,cent2144,cent2144,nagera_mazahua1970[1637]_o.pdf ; knapp_macahua2011[1637]_o.pdf,one,1,,,,false,1,,
2,cent2144,cent2144,nagera_mazahua1970[1637]_o.pdf ; knapp_macahua2011[1637]_o.pdf,two,2,,,,false,2,,
3,cent2144,cent2144,nagera_mazahua1970[1637]_o.pdf ; knapp_macahua2011[1637]_o.pdf,three,3,,,,false,3,,
4,cent2144,cent2144,nagera_mazahua1970[1637]_o.pdf ; knapp_macahua2011[1637]_o.pdf,four,4,,,,false,4,,
5,cent2144,cent2144,nagera_mazahua1970[1637]_o.pdf ; knapp_macahua2011[1637]_o.pdf,five,5,,,,false,5,,
6,cent2144,cent2144,nagera_mazahua1970[1637]_o.pdf ; knapp_macahua2011[1637]_o.pdf,six,6,,,,false,6,,
7,cent2144,cent2144,nagera_mazahua1970[1637]_o.pdf ; knapp_macahua2011[1637]_o.pdf,seven,7,,,,false,2+5′,,
8,cent2144,cent2144,nagera_mazahua1970[1637]_o.pdf ; knapp_macahua2011[1637]_o.pdf,eight,8,,,,false,3+5′,,
9,cent2144,cent2144,nagera_mazahua1970[1637]_o.pdf ; knapp_macahua2011[1637]_o.pdf,nine,9,,,,false,4+5′,,
10,cent2144,cent2144,nagera_mazahua1970[1637]_o.pdf ; knapp_macahua2011[1637]_o.pdf,ten,10,,,,false,10,,
11,cent2144,cent2144,nagera_mazahua1970[1637]_o.pdf ; knapp_macahua2011[1637]_o.pdf,eleven,11,,,,false,10+1,"Spanish from here on in NB modern doculect. Had the other doculect available in NB been coded, the glossing would be identical.",
12,cent2144,cent2144,nagera_mazahua1970[1637]_o.pdf ; knapp_macahua2011[1637]_o.pdf,twelve,12,,,,false,10+2,,
13,cent2144,cent2144,nagera_mazahua1970[1637]_o.pdf ; knapp_macahua2011[1637]_o.pdf,thirteen,13,,,,false,10+3,,
14,cent2144,cent2144,nagera_mazahua1970[1637]_o.pdf ; knapp_macahua2011[1637]_o.pdf,fourteen,14,,,,false,10+4,,
15,cent2144,cent2144,nagera_mazahua1970[1637]_o.pdf ; knapp_macahua2011[1637]_o.pdf,fifteen,15,,,,false,10+5,,
16,cent2144,cent2144,nagera_mazahua1970[1637]_o.pdf ; knapp_macahua2011[1637]_o.pdf,sixteen,16,,,,false,10+6,,
17,cent2144,cent2144,nagera_mazahua1970[1637]_o.pdf ; knapp_macahua2011[1637]_o.pdf,seventeen,17,,,,false,10+2+5′,,
18,cent2144,cent2144,nagera_mazahua1970[1637]_o.pdf ; knapp_macahua2011[1637]_o.pdf,eighteen,18,,,,false,10+3+5′,,
19,cent2144,cent2144,nagera_mazahua1970[1637]_o.pdf ; knapp_macahua2011[1637]_o.pdf,nineteen,19,,,,false,10+4+5′,,
20,cent2144,cent2144,nagera_mazahua1970[1637]_o.pdf ; knapp_macahua2011[1637]_o.pdf,twenty,20,,,,false,20,,
30,cent2144,cent2144,nagera_mazahua1970[1637]_o.pdf ; knapp_macahua2011[1637]_o.pdf,twentynine,30,,,,false,20+10,,
