,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss,Glosser
1,gheg1238,gheg1238,blanchus_dictionarium-epiroticum1635_o.pdf,one,1,,,,,1,,,KM
2,gheg1238,gheg1238,blanchus_dictionarium-epiroticum1635_o.pdf,two,2,,,,,2,,,KM
3,gheg1238,gheg1238,blanchus_dictionarium-epiroticum1635_o.pdf,three,3,,,,,3,,,KM
4,gheg1238,gheg1238,blanchus_dictionarium-epiroticum1635_o.pdf,four,4,,,,,4,,,KM
5,gheg1238,gheg1238,blanchus_dictionarium-epiroticum1635_o.pdf,five,5,,,,,5,,,KM
6,gheg1238,gheg1238,blanchus_dictionarium-epiroticum1635_o.pdf,six,6,,,,,6,,,KM
7,gheg1238,gheg1238,blanchus_dictionarium-epiroticum1635_o.pdf,seven,7,,,,,7,,,KM
8,gheg1238,gheg1238,blanchus_dictionarium-epiroticum1635_o.pdf,eight,8,,,,,8,,,KM
9,gheg1238,gheg1238,blanchus_dictionarium-epiroticum1635_o.pdf,nine,9,,,,,9,,,KM
10,gheg1238,gheg1238,blanchus_dictionarium-epiroticum1635_o.pdf,ten,10,,,,,10,,,KM
11,gheg1238,gheg1238,blanchus_dictionarium-epiroticum1635_o.pdf,eleven,11,,,,,1+{on/and}10,,,KM
12,gheg1238,gheg1238,blanchus_dictionarium-epiroticum1635_o.pdf,twelve,12,,,,,2+{on/and}10,,,KM
13,gheg1238,gheg1238,blanchus_dictionarium-epiroticum1635_o.pdf,thirteen,13,,,,,3+{on/and}10,,,KM
14,gheg1238,gheg1238,blanchus_dictionarium-epiroticum1635_o.pdf,fourteen,14,,,,,4+{on/and}10,,,KM
15,gheg1238,gheg1238,blanchus_dictionarium-epiroticum1635_o.pdf,fifteen,15,,,,,5+{on/and}10,,,KM
16,gheg1238,gheg1238,blanchus_dictionarium-epiroticum1635_o.pdf,sixteen,16,,,,,6+{on/and}10,,,KM
17,gheg1238,gheg1238,blanchus_dictionarium-epiroticum1635_o.pdf,seventeen,17,,,,,7+{on/and}10,,,KM
18,gheg1238,gheg1238,blanchus_dictionarium-epiroticum1635_o.pdf,eighteen,18,,,,,8+{on/and}10,,,KM
19,gheg1238,gheg1238,blanchus_dictionarium-epiroticum1635_o.pdf,nineteen,19,,,,,9+{on/and}10,,,KM
20,gheg1238,gheg1238,blanchus_dictionarium-epiroticum1635_o.pdf,twenty,20,,,,,1⋅20,,,KM
22,gheg1238,gheg1238,blanchus_dictionarium-epiroticum1635_o.pdf,twentyone,21,,,,,(1⋅20)+{on/and}1,,,KM
23,gheg1238,gheg1238,blanchus_dictionarium-epiroticum1635_o.pdf,twentytwo,22,,,,,(1⋅20)+{on/and}2,,,KM
24,gheg1238,gheg1238,blanchus_dictionarium-epiroticum1635_o.pdf,twentythree,23,,,,,(1⋅20)+{on/and}3,,,KM
25,gheg1238,gheg1238,blanchus_dictionarium-epiroticum1635_o.pdf,twentyfour,24,,,,,(1⋅20)+{on/and}4,,,KM
26,gheg1238,gheg1238,blanchus_dictionarium-epiroticum1635_o.pdf,twentyfive,25,,,,,(1⋅20)+{on/and}5,,,KM
27,gheg1238,gheg1238,blanchus_dictionarium-epiroticum1635_o.pdf,twentysix,26,,,,,(1⋅20)+{on/and}6,,,KM
28,gheg1238,gheg1238,blanchus_dictionarium-epiroticum1635_o.pdf,twentyseven,27,,,,,(1⋅20)+{on/and}7,,,KM
29,gheg1238,gheg1238,blanchus_dictionarium-epiroticum1635_o.pdf,twentyeight,28,,,,,(1⋅20)+{on/and}8,,,KM
30,gheg1238,gheg1238,blanchus_dictionarium-epiroticum1635_o.pdf,twentynine,29,,,,,(1⋅20)+{on/and}9,,,KM
31,gheg1238,gheg1238,blanchus_dictionarium-epiroticum1635_o.pdf,thirty,30,,,,,3⋅10,,,KM
32,gheg1238,gheg1238,blanchus_dictionarium-epiroticum1635_o.pdf,thirtyone,40,,,,,4⋅10,,,KM
33,gheg1238,gheg1238,blanchus_dictionarium-epiroticum1635_o.pdf,thirtytwo,50,,,,,5⋅10,,,KM
34,gheg1238,gheg1238,blanchus_dictionarium-epiroticum1635_o.pdf,thirtythree,60,,,,,6⋅10,,,KM
35,gheg1238,gheg1238,blanchus_dictionarium-epiroticum1635_o.pdf,thirtyfour,70,,,,,7⋅10,,,KM
36,gheg1238,gheg1238,blanchus_dictionarium-epiroticum1635_o.pdf,thirtyfive,80,,,,,8⋅10,,,KM
37,gheg1238,gheg1238,blanchus_dictionarium-epiroticum1635_o.pdf,thirtysix,90,,,,,9⋅10,,,KM
38,gheg1238,gheg1238,blanchus_dictionarium-epiroticum1635_o.pdf,thirtyseven,100,,,,,1⋅100,,,KM
