,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss,Glosser
1,esto1258,esto1258,stahl_esthnischen1637_o.pdf,one,1,,,,,1,,,KM
2,esto1258,esto1258,stahl_esthnischen1637_o.pdf,two,2,,,,,2,,,KM
3,esto1258,esto1258,stahl_esthnischen1637_o.pdf,three,3,,,,,3,,,KM
4,esto1258,esto1258,stahl_esthnischen1637_o.pdf,four,4,,,,,4,,,KM
5,esto1258,esto1258,stahl_esthnischen1637_o.pdf,five,5,,,,,5,,,KM
6,esto1258,esto1258,stahl_esthnischen1637_o.pdf,six,6,,,,,6,,,KM
7,esto1258,esto1258,stahl_esthnischen1637_o.pdf,seven,7,,,,,7,,,KM
8,esto1258,esto1258,stahl_esthnischen1637_o.pdf,eight,8,,,,,8,,,KM
9,esto1258,esto1258,stahl_esthnischen1637_o.pdf,nine,9,,,,,9,,,KM
10,esto1258,esto1258,stahl_esthnischen1637_o.pdf,ten,10,,,,,10,,,KM
11,esto1258,esto1258,stahl_esthnischen1637_o.pdf,eleven,11,,,,,10+{LP}1,,,KM
12,esto1258,esto1258,stahl_esthnischen1637_o.pdf,twelve,12,,,,,10+{LP}2,,,KM
13,esto1258,esto1258,stahl_esthnischen1637_o.pdf,thirteen,13,,,,,10+{LP}3,,,KM
14,esto1258,esto1258,stahl_esthnischen1637_o.pdf,fourteen,14,,,,,10+{LP}4,,,KM
15,esto1258,esto1258,stahl_esthnischen1637_o.pdf,fifteen,15,,,,,10+{LP}5,,,KM
16,esto1258,esto1258,stahl_esthnischen1637_o.pdf,sixteen,16,,,,,10+{LP}6,,,KM
17,esto1258,esto1258,stahl_esthnischen1637_o.pdf,seventeen,17,,,,,10+{LP}7,,,KM
18,esto1258,esto1258,stahl_esthnischen1637_o.pdf,eighteen,18,,,,,10+{LP}8,,,KM
19,esto1258,esto1258,stahl_esthnischen1637_o.pdf,nineteen,19,,,,,10+{LP}9,,,KM
20,esto1258,esto1258,stahl_esthnischen1637_o.pdf,twenty,20,,,,,2⋅10,,,KM
22,esto1258,esto1258,stahl_esthnischen1637_o.pdf,twentyone,21,,,,,1+20′,,,KM
23,esto1258,esto1258,stahl_esthnischen1637_o.pdf,twentytwo,22,,,,,2+20′,,,KM
24,esto1258,esto1258,stahl_esthnischen1637_o.pdf,twentythree,23,,,,,3+20′,,,KM
25,esto1258,esto1258,stahl_esthnischen1637_o.pdf,twentyfour,24,,,,,4+20′,,,KM
26,esto1258,esto1258,stahl_esthnischen1637_o.pdf,twentyfive,25,,,,,5+20′,,,KM
27,esto1258,esto1258,stahl_esthnischen1637_o.pdf,twentysix,26,,,,,6+20′,,,KM
28,esto1258,esto1258,stahl_esthnischen1637_o.pdf,twentyseven,27,,,,,7+20′,,,KM
29,esto1258,esto1258,stahl_esthnischen1637_o.pdf,twentyeight,28,,,,,8+20′,,,KM
30,esto1258,esto1258,stahl_esthnischen1637_o.pdf,twentynine,29,,,,,9+20′,,,KM
31,esto1258,esto1258,stahl_esthnischen1637_o.pdf,thirty,30,,,,,3⋅10,,,KM
32,esto1258,esto1258,stahl_esthnischen1637_o.pdf,thirtyone,40,,,,,4⋅10,,,KM
33,esto1258,esto1258,stahl_esthnischen1637_o.pdf,thirtytwo,50,,,,,5⋅10,,,KM
34,esto1258,esto1258,stahl_esthnischen1637_o.pdf,thirtythree,60,,,,,6⋅10,,,KM
35,esto1258,esto1258,stahl_esthnischen1637_o.pdf,thirtyfour,70,,,,,7⋅10,,,KM
36,esto1258,esto1258,stahl_esthnischen1637_o.pdf,thirtyfive,80,,,,,8⋅10,,,KM
37,esto1258,esto1258,stahl_esthnischen1637_o.pdf,thirtysix,90,,,,,9⋅10,,,KM
38,esto1258,esto1258,stahl_esthnischen1637_o.pdf,thirtyseven,100,,,,,100,,,KM
