Entry_from_source	Concept	NumberValue	Gloss	Comment	ID	Language	Source
deux	two	2	2		stan1293	English	cotgrave_frenchenglish1611_o.pdf
trois	three	3	3		stan1293	English	cotgrave_frenchenglish1611_o.pdf
quatre, foure	four	4	4		stan1293	English	cotgrave_frenchenglish1611_o.pdf
six	six	6	6	half a dozen	stan1293	English	cotgrave_frenchenglish1611_o.pdf
sept,seuen	seven	7	7		stan1293	English	cotgrave_frenchenglish1611_o.pdf
huit	eight	8	8		stan1293	English	cotgrave_frenchenglish1611_o.pdf
neuf	nine	9	9		stan1293	English	cotgrave_frenchenglish1611_o.pdf
dix, tenne	ten	10	10		stan1293	English	cotgrave_frenchenglish1611_o.pdf
onze, eleuen	eleven	11	11		stan1293	English	cotgrave_frenchenglish1611_o.pdf
douze, twelve	twelve	12	12	dozen	stan1293	English	cotgrave_frenchenglish1611_o.pdf
treze, thirteene 	thirteen	13	3+10		stan1293	English	cotgrave_frenchenglish1611_o.pdf
quatorze, fourteene	fourteen	14	4+10		stan1293	English	cotgrave_frenchenglish1611_o.pdf
quinze, fifteene	fifteen	15	5+10		stan1293	English	cotgrave_frenchenglish1611_o.pdf
seize, sixteene	sixteen	16	6+10		stan1293	English	cotgrave_frenchenglish1611_o.pdf
dixsept, seventeene	seventeen	17	7+10		stan1293	English	cotgrave_frenchenglish1611_o.pdf
dixhuit, eighteene	eighteen	18	8+10		stan1293	English	cotgrave_frenchenglish1611_o.pdf
dixneuf, nineteene	nineteen	19	9+10		stan1293	English	cotgrave_frenchenglish1611_o.pdf
vingt, twentie	twenty	20	2·10	a score	stan1293	English	cotgrave_frenchenglish1611_o.pdf
trente, thirtie	thirty	30	3·10		stan1293	English	cotgrave_frenchenglish1611_o.pdf
een, negen	one	1	1		kalm1243 (?)	Kalmyk (?) Mongloian	witsen_tartarye1705_o.pdf
twee, chofer, koer	two	2	2		kalm1243 (?)	Kalmyk (?) Mongloian	witsen_tartarye1705_o.pdf
drie, gurban, gouba	three	3	3		kalm1243 (?)	Kalmyk (?) Mongloian	witsen_tartarye1705_o.pdf
vier, der ben, durben	four	4	4		kalm1243 (?)	Kalmyk (?) Mongloian	witsen_tartarye1705_o.pdf
vyf, tabun	five	5	5		kalm1243 (?)	Kalmyk (?) Mongloian	witsen_tartarye1705_o.pdf
zes, zurga, attdnygan	six	6	6		kalm1243 (?)	Kalmyk (?) Mongloian	witsen_tartarye1705_o.pdf
zeven, ddo	seven	7	7		kalm1243 (?)	Kalmyk (?) Mongloian	witsen_tartarye1705_o.pdf
acht, naiman	eight	8	8		kalm1243 (?)	Kalmyk (?) Mongloian	witsen_tartarye1705_o.pdf
