,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss,
1,numerals-west2555-1-one-1,numerals-west2555-1,Chan2019,one,1,səvɑhɑ,savaha,,FALSE,1{?},,,
2,numerals-west2555-1-two-1,numerals-west2555-1,Chan2019,two,2,dəʐuwɑ,dazuwa,,FALSE,2,Reduplication,,
3,numerals-west2555-1-three-1,numerals-west2555-1,Chan2019,three,3,tətəlu,tatalu,,FALSE,3,Reduplication,,
4,numerals-west2555-1-four-1,numerals-west2555-1,Chan2019,four,4,həʔəpɑt,haapat,,FALSE,4,Reduplication,,
5,numerals-west2555-1-five-1,numerals-west2555-1,Chan2019,five,5,ləlimɑ,lalima,,FALSE,5,Reduplication,,
6,numerals-west2555-1-six-1,numerals-west2555-1,Chan2019,six,6,həʔənəm,haanam,,FALSE,6,Reduplication,,
7,numerals-west2555-1-seven-1,numerals-west2555-1,Chan2019,seven,7,pitu,pitu,,FALSE,7,,,
8,numerals-west2555-1-eight-1,numerals-west2555-1,Chan2019,eight,8,walu,walu,,FALSE,8,,,
9,numerals-west2555-1-nine-1,numerals-west2555-1,Chan2019,nine,9,siyəw,siyaw,,FALSE,9,,,
10,numerals-west2555-1-ten-1,numerals-west2555-1,Chan2019,ten,10,səpuluʔ,sapulu,,FALSE,1[⋅]10,,,
11,numerals-west2555-1-eleven-1,numerals-west2555-1,Chan2019,eleven,11,səpuluʔ wəy səvɑhɑ,sapuluwaysavaha,,FALSE,(1[⋅]10){and}+1{?},,,
12,numerals-west2555-1-twelve-1,numerals-west2555-1,Chan2019,twelve,12,səpuluʔ wəy dəʐuwɑ,sapuluwaydazuwa,,FALSE,(1[⋅]10){and}+2,,,
13,numerals-west2555-1-thirteen-1,numerals-west2555-1,Chan2019,thirteen,13,səpuluʔ wəy tətəlu,sapuluwaytatalu,,FALSE,(1[⋅]10){and}+3,,,
14,numerals-west2555-1-fourteen-1,numerals-west2555-1,Chan2019,fourteen,14,səpuluʔ wəy həʔəpɑt,sapuluwayhaapat,,FALSE,(1[⋅]10){and}+4,,,
15,numerals-west2555-1-fifteen-1,numerals-west2555-1,Chan2019,fifteen,15,səpuluʔ wəy ləlimɑ,sapuluwaylalima,,FALSE,(1[⋅]10){and}+5,,,
16,numerals-west2555-1-sixteen-1,numerals-west2555-1,Chan2019,sixteen,16,səpuluʔ wəy həʔənəm,sapuluwayhaanam,,FALSE,(1[⋅]10){and}+6,,,
17,numerals-west2555-1-seventeen-1,numerals-west2555-1,Chan2019,seventeen,17,səpuluʔ wəy pitu,sapuluwaypitu,,FALSE,(1[⋅]10){and}+7,,,
18,numerals-west2555-1-eighteen-1,numerals-west2555-1,Chan2019,eighteen,18,səpuluʔ wəy walu,sapuluwaywalu,,FALSE,(1[⋅]10){and}+8,,,
19,numerals-west2555-1-nineteen-1,numerals-west2555-1,Chan2019,nineteen,19,səpuluʔ wəy siyəw,sapuluwaysiyaw,,FALSE,(1[⋅]10){and}+9,,,
20,numerals-west2555-1-twenty-1,numerals-west2555-1,Chan2019,twenty,20,dəʐuwəm puluʔ,dazuwampulu,,FALSE,2⋅10,,,
21,numerals-west2555-1-twentyone-1,numerals-west2555-1,Chan2019,twentyone,21,dəʐuwəm puluʔ wəy səvɑhɑ,dazuwampuluwaysavaha,,FALSE,(2⋅10){and}+1{?},,,
22,numerals-west2555-1-twentytwo-1,numerals-west2555-1,Chan2019,twentytwo,22,dəʐuwəm puluʔ wəy dəʐuwɑ,dazuwampuluwaydazuwa,,FALSE,(2⋅10){and}+2,,,
23,numerals-west2555-1-twentythree-1,numerals-west2555-1,Chan2019,twentythree,23,dəʐuwəm puluʔ wəy tətəlu,dazuwampuluwaytatalu,,FALSE,(2⋅10){and}+3,,,
24,numerals-west2555-1-twentyfour-1,numerals-west2555-1,Chan2019,twentyfour,24,dəʐuwəm puluʔ wəy həʔəpɑt,dazuwampuluwayhaapat,,FALSE,(2⋅10){and}+4,,,
25,numerals-west2555-1-twentyfive-1,numerals-west2555-1,Chan2019,twentyfive,25,dəʐuwəm puluʔ wəy ləlimɑ,dazuwampuluwaylalima,,FALSE,(2⋅10){and}+5,,,
26,numerals-west2555-1-twentysix-1,numerals-west2555-1,Chan2019,twentysix,26,dəʐuwəm puluʔ wəy həʔənəm,dazuwampuluwayhaanam,,FALSE,(2⋅10){and}+6,,,
27,numerals-west2555-1-twentyseven-1,numerals-west2555-1,Chan2019,twentyseven,27,dəʐuwəm puluʔ wəy pitu,dazuwampuluwaypitu,,FALSE,(2⋅10){and}+7,,,
28,numerals-west2555-1-twentyeight-1,numerals-west2555-1,Chan2019,twentyeight,28,dəʐuwəm puluʔ wəy walu,dazuwampuluwaywalu,,FALSE,(2⋅10){and}+8,,,
29,numerals-west2555-1-twentynine-1,numerals-west2555-1,Chan2019,twentynine,29,dəʐuwəm puluʔ wəy siyəw,dazuwampuluwaysiyaw,,FALSE,(2⋅10){and}+9,,,
30,numerals-west2555-1-thirty-1,numerals-west2555-1,Chan2019,thirty,30,kətluʔɑn,katluan,,FALSE,,{⋅}3[⋅]10′,Reportedly borrowed from Cebuano; multiplicative circumfix (?),10′[⋅]3{⋅}
31,numerals-west2555-1-forty-1,numerals-west2555-1,Chan2019,forty,40,kəpɑtɑn,kapatan,,FALSE,,{⋅}4[⋅]10′,Reportedly borrowed from Cebuano; multiplicative circumfix (?),10′[⋅]4{⋅}
32,numerals-west2555-1-fifty-1,numerals-west2555-1,Chan2019,fifty,50,kəlimɑhɑn,kalimahan,,FALSE,,{⋅}5[⋅]10′,Reportedly borrowed from Cebuano; multiplicative circumfix (?),10′[⋅]5{⋅}
33,numerals-west2555-1-sixty-1,numerals-west2555-1,Chan2019,sixty,60,kənənɑm,kananam,,FALSE,,{⋅}6[⋅]10′,Reportedly borrowed from Cebuano; multiplicative circumfix (?),10′[⋅]6{⋅}
34,numerals-west2555-1-seventy-1,numerals-west2555-1,Chan2019,seventy,70,kəpituɑn,kapituan,,FALSE,,{⋅}7[⋅]10′,Reportedly borrowed from Cebuano; multiplicative circumfix (?),10′[⋅]7{⋅}
35,numerals-west2555-1-eighty-1,numerals-west2555-1,Chan2019,eighty,80,kəwəluɑn,kawaluan,,FALSE,,{⋅}8[⋅]10′,Reportedly borrowed from Cebuano; multiplicative circumfix (?),10′[⋅]8{⋅}
36,numerals-west2555-1-ninety-1,numerals-west2555-1,Chan2019,ninety,90,kəsiyəwɑn,kasiyawan,,FALSE,,{⋅}9[⋅]10′,Reportedly borrowed from Cebuano; multiplicative circumfix (?),10′[⋅]9{⋅}
37,numerals-west2555-1-hundred-1,numerals-west2555-1,Chan2019,hundred,100,nəŋɡɑtus,nanggatus,,FALSE,,1′⋅100,,
38,numerals-west2555-1-twohundred-1,numerals-west2555-1,Chan2019,twohundred,200,dəʐuwən ɡɑtus,dazuwangatus,,FALSE,,2⋅100,,
39,numerals-west2555-1-thousand-1,numerals-west2555-1,Chan2019,thousand,1000,nəŋkəlibu,nangkalibu,,FALSE,,1′⋅1000,,
40,numerals-west2555-1-twothousand-1,numerals-west2555-1,Chan2019,twothousand,2000,dəʐuwən libu,dazuwanlibu,,FALSE,,2⋅1000,,
