,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss,
1,numerals-romb1245-1-one-1,numerals-romb1245-1,Chan2019,one,1,ʔi'sa,isa,,FALSE,1,,,
2,numerals-romb1245-1-two-1,numerals-romb1245-1,Chan2019,two,2,du'ha,duha,,FALSE,2,,,
3,numerals-romb1245-1-three-1,numerals-romb1245-1,Chan2019,three,3,tu'yo,tuyo,,FALSE,3,,,
4,numerals-romb1245-1-four-1,numerals-romb1245-1,Chan2019,four,4,ʔu'pat,upat,,FALSE,4,,,
5,numerals-romb1245-1-five-1,numerals-romb1245-1,Chan2019,five,5,li'ma,lima,,FALSE,5,,,
6,numerals-romb1245-1-six-1,numerals-romb1245-1,Chan2019,six,6,u'nom,unom,,FALSE,6,,,
7,numerals-romb1245-1-seven-1,numerals-romb1245-1,Chan2019,seven,7,pi'to,pito,,FALSE,7,,,
8,numerals-romb1245-1-eight-1,numerals-romb1245-1,Chan2019,eight,8,wa'yo,wayo,,FALSE,8,,,
9,numerals-romb1245-1-nine-1,numerals-romb1245-1,Chan2019,nine,9,si'yam,siyam,,FALSE,9,,,
10,numerals-romb1245-1-ten-1,numerals-romb1245-1,Chan2019,ten,10,na'puyoʔ,napuyo,,FALSE,10,,,
11,numerals-romb1245-1-eleven-1,numerals-romb1245-1,Chan2019,eleven,11,ʔunsi,unsi,< Spanish,TRUE,1′[+]10′,Borrowed from Spanish,,
12,numerals-romb1245-1-twelve-1,numerals-romb1245-1,Chan2019,twelve,12,dusi,dusi,,FALSE,2′[+]10′,Borrowed from Spanish,,
13,numerals-romb1245-1-thirteen-1,numerals-romb1245-1,Chan2019,thirteen,13,trisi,trisi,,FALSE,3′[+]10′,Borrowed from Spanish,,
14,numerals-romb1245-1-fourteen-1,numerals-romb1245-1,Chan2019,fourteen,14,katursi,katursi,,FALSE,4′[+]10′,Borrowed from Spanish,,
15,numerals-romb1245-1-fifteen-1,numerals-romb1245-1,Chan2019,fifteen,15,kinsi,kinsi,,FALSE,5′[+]10′,Borrowed from Spanish,,
16,numerals-romb1245-1-sixteen-1,numerals-romb1245-1,Chan2019,sixteen,16,disisas,disisas,,FALSE,10″+6′,Borrowed from Spanish,,
17,numerals-romb1245-1-seventeen-1,numerals-romb1245-1,Chan2019,seventeen,17,disisiete,disisiete,,FALSE,10″+7′,Borrowed from Spanish,,
18,numerals-romb1245-1-eighteen-1,numerals-romb1245-1,Chan2019,eighteen,18,disiotso,disiotso,,FALSE,10″+8′,Borrowed from Spanish,,
19,numerals-romb1245-1-nineteen-1,numerals-romb1245-1,Chan2019,nineteen,19,disinoybe,disinoybe,,FALSE,10″+9′,Borrowed from Spanish,,
20,numerals-romb1245-1-twenty-1,numerals-romb1245-1,Chan2019,twenty,20,bainte,bainte,,FALSE,20,Borrowed from Spanish,,
21,numerals-romb1245-1-twentyone-1,numerals-romb1245-1,Chan2019,twentyone,21,bainte uno,bainteuno,,FALSE,20[+]1′,Borrowed from Spanish,,
22,numerals-romb1245-1-twentytwo-1,numerals-romb1245-1,Chan2019,twentytwo,22,bainte dos,baintedos,,FALSE,20[+]2′,Borrowed from Spanish,,
23,numerals-romb1245-1-twentythree-1,numerals-romb1245-1,Chan2019,twentythree,23,bainte tres,baintetres,,FALSE,20[+]3′,Borrowed from Spanish,,
24,numerals-romb1245-1-twentyfour-1,numerals-romb1245-1,Chan2019,twentyfour,24,bainte kwatro,baintekwatro,,FALSE,20[+]4′,Borrowed from Spanish,,
25,numerals-romb1245-1-twentyfive-1,numerals-romb1245-1,Chan2019,twentyfive,25,bainte siŋko,baintesingko,,FALSE,20[+]5″,Borrowed from Spanish,,
26,numerals-romb1245-1-twentysix-1,numerals-romb1245-1,Chan2019,twentysix,26,bainte saes,baintesaes,,FALSE,20[+]6′,Borrowed from Spanish,,
27,numerals-romb1245-1-twentyseven-1,numerals-romb1245-1,Chan2019,twentyseven,27,bainte sie'te,baintesiete,,FALSE,20[+]7′,Borrowed from Spanish,,
28,numerals-romb1245-1-twentyeight-1,numerals-romb1245-1,Chan2019,twentyeight,28,bainte otso,bainteotso,,FALSE,20[+]8′,Borrowed from Spanish,,
29,numerals-romb1245-1-twentynine-1,numerals-romb1245-1,Chan2019,twentynine,29,bainte noybe,baintenoybe,,FALSE,20[+]9′,Borrowed from Spanish,,
30,numerals-romb1245-1-thirty-1,numerals-romb1245-1,Chan2019,thirty,30,trainta,trainta,,FALSE,3′[⋅]10‴,Borrowed from Spanish,,
31,numerals-romb1245-1-forty-1,numerals-romb1245-1,Chan2019,forty,40,kwarinta,kwarinta,,FALSE,4′[⋅]10‴,Borrowed from Spanish,,
32,numerals-romb1245-1-fifty-1,numerals-romb1245-1,Chan2019,fifty,50,sikwenta,sikwenta,,FALSE,5″[⋅]10‴,Borrowed from Spanish,,
33,numerals-romb1245-1-sixty-1,numerals-romb1245-1,Chan2019,sixty,60,sesenta,sesenta,,FALSE,6′[⋅]10‴,Borrowed from Spanish,,
34,numerals-romb1245-1-seventy-1,numerals-romb1245-1,Chan2019,seventy,70,setenta,setenta,,FALSE,7′[⋅]10‴,Borrowed from Spanish,,
35,numerals-romb1245-1-eighty-1,numerals-romb1245-1,Chan2019,eighty,80,otsenta,otsenta,,FALSE,8′[⋅]10‴,Borrowed from Spanish,,
36,numerals-romb1245-1-ninety-1,numerals-romb1245-1,Chan2019,ninety,90,nobenta,nobenta,,FALSE,9′[⋅]10‴,Borrowed from Spanish,,
37,numerals-romb1245-1-hundred-1,numerals-romb1245-1,Chan2019,hundred,100,ʔisa ka a'tus,isakaatus,,FALSE,1⋅{⋅}100,,,
38,numerals-romb1245-1-hundred-2,numerals-romb1245-1,Chan2019,hundred,100,syintu,syintu,,FALSE,100′,Borrowed from Spanish,,
39,numerals-romb1245-1-twohundred-1,numerals-romb1245-1,Chan2019,twohundred,200,du'ha ka a'tus,duhakaatus,,FALSE,2⋅{⋅}100,,,100
40,numerals-romb1245-1-twohundred-2,numerals-romb1245-1,Chan2019,twohundred,200,dus syintus,dussyintus,,FALSE,2′[⋅]100′,Borrowed from Spanish,,
41,numerals-romb1245-1-thousand-1,numerals-romb1245-1,Chan2019,thousand,1000,ʔisa ka 'libu,isakalibu,,FALSE,1⋅{⋅}1000,,,
42,numerals-romb1245-1-thousand-2,numerals-romb1245-1,Chan2019,thousand,1000,mil,mil,,FALSE,1000′,Borrowed from Spanish,,
43,numerals-romb1245-1-twothousand-1,numerals-romb1245-1,Chan2019,twothousand,2000,du'ha ka 'libu,duhakalibu,,FALSE,2⋅{⋅}1000,,,
44,numerals-romb1245-1-twothousand-2,numerals-romb1245-1,Chan2019,twothousand,2000,dus mil,dusmil,,FALSE,2′[⋅]1000′,Borrowed from Spanish,,
