,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss,
1,abvd-1209-one-1,abvd-1209,abvd,one,1,erai,erai,,FALSE,1,,,
2,abvd-1209-two-1,abvd-1209,abvd,two,2,duo',duo,,FALSE,2,,,
3,abvd-1209-three-1,abvd-1209,abvd,three,3,tolu',tolu,,FALSE,3,,,
4,abvd-1209-four-1,abvd-1209,abvd,four,4,opat,opat,,FALSE,4,,,
5,abvd-1209-five-1,abvd-1209,abvd,five,5,limo',limo,,FALSE,5,,,
6,abvd-1209-six-1,abvd-1209,abvd,six,6,onom,onom,,FALSE,6,,,
7,abvd-1209-seven-1,abvd-1209,abvd,seven,7,turuu,turuu,,FALSE,7,From ‘to point’,,
8,abvd-1209-eight-1,abvd-1209,abvd,eight,8,walu,walu,,FALSE,8,,,
8,abvd-1209-eight-2,abvd-1209,abvd,eight,8,walo,walo,,FALSE,8,,,
9,abvd-1209-nine-1,abvd-1209,abvd,nine,9,siee,siee,,FALSE,9,,,
10,abvd-1209-ten-1,abvd-1209,abvd,ten,10,sepuluu,sepuluu,,FALSE,10,1′[⋅]10,,10
11,abvd-1209-hundred-1,abvd-1209,abvd,hundred,100,jatus,jatus,,FALSE,100,,,
