s,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,barlowpacific-dump1242-1-one-1,barlowpacific-dump1242-1,Barlow2024,one,1,isoʔ,iso,,FALSE,1,,
2,barlowpacific-dump1242-1-one-2,barlowpacific-dump1242-1,Barlow2024,one,1,sambatu,sambatu,,FALSE,1′,,
3,barlowpacific-dump1242-1-two-1,barlowpacific-dump1242-1,Barlow2024,two,2,duo,duo,,FALSE,2,,
4,barlowpacific-dump1242-1-three-1,barlowpacific-dump1242-1,Barlow2024,three,3,tolu,tolu,,FALSE,3,,
5,barlowpacific-dump1242-1-four-1,barlowpacific-dump1242-1,Barlow2024,four,4,apat,apat,,FALSE,4,,
6,barlowpacific-dump1242-1-five-1,barlowpacific-dump1242-1,Barlow2024,five,5,limo,limo,,FALSE,5,,
7,barlowpacific-dump1242-1-six-1,barlowpacific-dump1242-1,Barlow2024,six,6,onom,onom,,FALSE,6,,
8,barlowpacific-dump1242-1-seven-1,barlowpacific-dump1242-1,Barlow2024,seven,7,turuʔ,turu,,FALSE,7,From ‘to point’,
9,barlowpacific-dump1242-1-eight-1,barlowpacific-dump1242-1,Barlow2024,eight,8,waluʔ,walu,,FALSE,8,,
10,barlowpacific-dump1242-1-nine-1,barlowpacific-dump1242-1,Barlow2024,nine,9,siwoy,siwoy,,FALSE,9,,
11,barlowpacific-dump1242-1-ten-1,barlowpacific-dump1242-1,Barlow2024,ten,10,opuluʔ,opulu,,FALSE,1″[⋅]10,,
12,barlowpacific-dump1242-1-eleven-1,barlowpacific-dump1242-1,Barlow2024,eleven,11,opuluʔ om iso,opuluomiso,,FALSE,(1″[⋅]10)+{+}1,,
13,barlowpacific-dump1242-1-twenty-1,barlowpacific-dump1242-1,Barlow2024,twenty,20,duo no puluʔ,duonopulu,,FALSE,2⋅{⋅}10,,
14,barlowpacific-dump1242-1-thirty-1,barlowpacific-dump1242-1,Barlow2024,thirty,30,təlu nə puluʔ,talunapulu,,FALSE,3⋅{⋅}10,,
15,barlowpacific-dump1242-1-forty-1,barlowpacific-dump1242-1,Barlow2024,forty,40,əpat nə puluʔ,apatnapulu,,FALSE,4⋅{⋅}10,,
16,barlowpacific-dump1242-1-hundred-1,barlowpacific-dump1242-1,Barlow2024,hundred,100,maatus,maatus,,FALSE,1‴[⋅]100,,
17,barlowpacific-dump1242-1-twohundred-1,barlowpacific-dump1242-1,Barlow2024,twohundred,200,duo na atus,duonaatus,,FALSE,2⋅{⋅}100,,
18,barlowpacific-dump1242-1-thousand-1,barlowpacific-dump1242-1,Barlow2024,thousand,1000,oribu,oribu,,FALSE,1″[⋅]1000,,1000
