,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss,
1,barlowpacific-rara1235-1-one-1,barlowpacific-rara1235-1,Barlow2024,one,1,(asa),asa,,FALSE,1,{?}1,,
2,barlowpacific-rara1235-1-two-1,barlowpacific-rara1235-1,Barlow2024,two,2,(dua),dua,,FALSE,2,2,,
3,barlowpacific-rara1235-1-three-1,barlowpacific-rara1235-1,Barlow2024,three,3,(taru),taru,,FALSE,3,3,,
4,barlowpacific-rara1235-1-four-1,barlowpacific-rara1235-1,Barlow2024,four,4,(apat),apat,,FALSE,4,4,,
5,barlowpacific-rara1235-1-five-1,barlowpacific-rara1235-1,Barlow2024,five,5,(rima),rima,,FALSE,5,5,,
6,barlowpacific-rara1235-1-six-1,barlowpacific-rara1235-1,Barlow2024,six,6,(unum),unum,,FALSE,6,6,,
7,barlowpacific-rara1235-1-seven-1,barlowpacific-rara1235-1,Barlow2024,seven,7,(ijo),ijo,,FALSE,7,7,From ‘to point’,
8,barlowpacific-rara1235-1-eight-1,barlowpacific-rara1235-1,Barlow2024,eight,8,(mahi),mahi,,FALSE,8,8,Historically subtractive (?),
9,barlowpacific-rara1235-1-nine-1,barlowpacific-rara1235-1,Barlow2024,nine,9,(pire),pire,,FALSE,9,9,Historically subtractive (?),
10,barlowpacific-rara1235-1-ten-1,barlowpacific-rara1235-1,Barlow2024,ten,10,(sapuloh),sapuloh,,FALSE,10,1[⋅]10,,10
