,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss,,,,,,,,xxx,xxx
25,barlowpacific-cham1312-1-six-4,barlowpacific-cham1312-1,Barlow2024,six,6,gonmiyai,gonmiyai,Numeral for inanimate things,FALSE,6{CLF.INAN},,,,,,,,,,,
26,barlowpacific-cham1312-1-seven-1,barlowpacific-cham1312-1,Barlow2024,seven,7,fiti,fiti,Simple numeral for time,FALSE,7,,,,,,,,,,,
27,barlowpacific-cham1312-1-seven-2,barlowpacific-cham1312-1,Barlow2024,seven,7,fafiti,fafiti,Numeral for living things,FALSE,{7}7,,,,,,,,,,,
28,barlowpacific-cham1312-1-seven-3,barlowpacific-cham1312-1,Barlow2024,seven,7,takfitun,takfitun,Numeral for measurements,FALSE,{CLF}7{?},,,,,,,,,,,
29,barlowpacific-cham1312-1-seven-4,barlowpacific-cham1312-1,Barlow2024,seven,7,fetguiyai,fetguiyai,Numeral for inanimate things,FALSE,7{CLF.INAN},,,,,,,,,,,
30,barlowpacific-cham1312-1-eight-1,barlowpacific-cham1312-1,Barlow2024,eight,8,gualu,gualu,Simple numeral for time,FALSE,8,,,,,,,,,,,
31,barlowpacific-cham1312-1-eight-2,barlowpacific-cham1312-1,Barlow2024,eight,8,guagualu,guagualu,Numeral for living things,FALSE,{8}8,,,,,,,,,,,
32,barlowpacific-cham1312-1-eight-3,barlowpacific-cham1312-1,Barlow2024,eight,8,takgualun,takgualun,Numeral for measurements,FALSE,{CLF}8{?},,,,,,,,,,,
33,barlowpacific-cham1312-1-eight-4,barlowpacific-cham1312-1,Barlow2024,eight,8,gualgiyai,gualgiyai,Numeral for inanimate things,FALSE,8{CLF.INAN},,,,,,,,,,,
34,barlowpacific-cham1312-1-nine-1,barlowpacific-cham1312-1,Barlow2024,nine,9,sigua,sigua,Simple numeral for time,FALSE,9,,,,,,,,,,,
35,barlowpacific-cham1312-1-nine-2,barlowpacific-cham1312-1,Barlow2024,nine,9,sasigua,sasigua,Numeral for living things,FALSE,{9}9,,,,,,,,,,,
36,barlowpacific-cham1312-1-nine-3,barlowpacific-cham1312-1,Barlow2024,nine,9,taksiguan,taksiguan,Numeral for measurements,FALSE,{CLF}9{?},,,,,,,,,,,
37,barlowpacific-cham1312-1-nine-4,barlowpacific-cham1312-1,Barlow2024,nine,9,siguiyai,siguiyai,Numeral for inanimate things,FALSE,9{CLF.INAN},,,,,,,,,,,
38,barlowpacific-cham1312-1-ten-1,barlowpacific-cham1312-1,Barlow2024,ten,10,manot,manot,Simple numeral for time; ‘a set’,FALSE,10,‘a set’ (?),,,,,,,,,,
39,barlowpacific-cham1312-1-ten-2,barlowpacific-cham1312-1,Barlow2024,ten,10,maônot,maonot,Numeral for living things,FALSE,10,‘a set’ (?),,,,,,,,,,
40,barlowpacific-cham1312-1-ten-3,barlowpacific-cham1312-1,Barlow2024,ten,10,takmaonton,takmaonton,Numeral for measurements,FALSE,{CLF}10{?},‘a set’ (?),,,,,,,,,,
41,barlowpacific-cham1312-1-ten-4,barlowpacific-cham1312-1,Barlow2024,ten,10,manutai,manutai,Numeral for inanimate things,FALSE,10{CLF.INAN},‘a set’ (?),,,,,,,,,,
42,barlowpacific-cham1312-1-eleven-1,barlowpacific-cham1312-1,Barlow2024,eleven,11,manot nga guai hacha,manot nga guai hacha,Simple numeral for time; ‘a set which has one’,FALSE,10{LIG}{EXIST?}+1,,,,,,,,,,,
43,barlowpacific-cham1312-1-eleven-2,barlowpacific-cham1312-1,Barlow2024,eleven,11,maonot nga guai maisa,maonot nga guai maisa,Numeral for living things,FALSE,10{LIG}{EXIST?}+1′,,,,,,,,,,,
44,barlowpacific-cham1312-1-eleven-3,barlowpacific-cham1312-1,Barlow2024,eleven,11,takmaonton nga guai takhachun,takmaonton nga guai takhachun,Numeral for measurements,FALSE,{CLF}10{?}{LIG}{EXIST?}+{CLF}1{?},,,,,,,,,,,
45,barlowpacific-cham1312-1-eleven-4,barlowpacific-cham1312-1,Barlow2024,eleven,11,manutai nga guai hachiyai,manutai nga guai hachiyai,Numeral for inanimate things,FALSE,10{CLF.INAN}{LIG}{EXIST?}+1{CLF.INAN},,,,,,,,,,,
46,barlowpacific-cham1312-1-twelve-1,barlowpacific-cham1312-1,Barlow2024,twelve,12,manot nga guai hugua,manot nga guai hugua,Simple numeral for time; ‘a set which has two’,FALSE,10{LIG}{EXIST?}+2,,,,,,,,,,,
47,barlowpacific-cham1312-1-twelve-2,barlowpacific-cham1312-1,Barlow2024,twelve,12,manutai nga guai huguiyai,manutai nga guai huguiyai,Numeral for inanimate things,FALSE,10{CLF.INAN}{LIG}{EXIST?}+2{CLF.INAN},,,,,,,,,,,
48,barlowpacific-cham1312-1-thirteen-1,barlowpacific-cham1312-1,Barlow2024,thirteen,13,manot nga guai tulo,manot nga guai tulo,Simple numeral for time,FALSE,10{LIG}{EXIST?}+3,,,,,,,,,,,
49,barlowpacific-cham1312-1-thirteen-2,barlowpacific-cham1312-1,Barlow2024,thirteen,13,maonot nga guai tato,maonot nga guai tato,Numeral for living things,FALSE,10{LIG}{EXIST?}+{3}3,,,,,,,,,,,
50,barlowpacific-cham1312-1-thirteen-3,barlowpacific-cham1312-1,Barlow2024,thirteen,13,manutai nga guai tolgiyai,manutai nga guai tolgiyai,Numeral for inanimate things,FALSE,10{CLF.INAN}{LIG}{EXIST?}+3{CLF.INAN},,,,,,,,,,,
51,barlowpacific-cham1312-1-twenty-1,barlowpacific-cham1312-1,Barlow2024,twenty,20,hugua nga fulu,hugua nga fulu,Simple numeral for time; ‘two tens which have one’,FALSE,2{LIG}⋅10′,,,,,,,,,,,
52,barlowpacific-cham1312-1-twenty-2,barlowpacific-cham1312-1,Barlow2024,twenty,20,hugua nga fulu,hugua nga fulu,Numeral for living things,FALSE,2{LIG}⋅10′,,,,,,,,,,,
53,barlowpacific-cham1312-1-twenty-3,barlowpacific-cham1312-1,Barlow2024,twenty,20,takhugua nga fulu,takhugua nga fulu,Numeral for measurements,FALSE,{CLF}2{LIG}⋅10′,,,,,,,,,,,
54,barlowpacific-cham1312-1-twenty-4,barlowpacific-cham1312-1,Barlow2024,twenty,20,huguiyai nga fulu,huguiyai nga fulu,Numeral for inanimate things,FALSE,2{CLF.INAN}{LIG}⋅10′,,,,,,,,,,,
55,barlowpacific-cham1312-1-twentyone-1,barlowpacific-cham1312-1,Barlow2024,twentyone,21,hugua nga fulu nga guai hacha,hugua nga fulu nga guai hacha,Simple numeral for time; ‘two tens which have five’,FALSE,(2{LIG}⋅10′){?}{EXIST?}+1,,,,,,,,,,,
56,barlowpacific-cham1312-1-twentyone-2,barlowpacific-cham1312-1,Barlow2024,twentyone,21,huguiyai nga fulu nga guai hachiyai,huguiyai nga fulu nga guai hachiyai,Numeral for inanimate things,FALSE,(2{CLF.INAN}{LIG}⋅10′){?}{EXIST?}+1{CLF.INAN},,,,,,,,,,,
57,barlowpacific-cham1312-1-twentytwo-1,barlowpacific-cham1312-1,Barlow2024,twentytwo,22,hugua nga fulu nga guai takhuguan,hugua nga fulu nga guai takhuguan,Numeral for measurements,FALSE,(2{LIG}⋅10′){?}{EXIST?}+{CLF}2{?},,,,,,,,,,,
58,barlowpacific-cham1312-1-twentyfive-1,barlowpacific-cham1312-1,Barlow2024,twentyfive,25,hugua nga fulu nga guai lima,hugua nga fulu nga guai lima,Simple numeral for time,FALSE,(2{LIG}⋅10′){?}{EXIST?}+5,,,,,,,,,,,
