,,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
,1,barlowpacific-mass1263-1-one-1,barlowpacific-mass1263-1,Barlow2024,one,1,m.nikɑ,mnika,[məˈneə.xɑ],FALSE,1,,
,2,barlowpacific-mass1263-1-two-1,barlowpacific-mass1263-1,Barlow2024,two,2,nɑb.ni,nabni,[nɑ.ƀə.ni],FALSE,2,,
