,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,′,Comment_glosser,Alternate_gloss
1,numerals-bart1238-1-one-1,numerals-bart1238-1,Chan2019,one,1,yiw,yiw,,false,1,,
2,numerals-bart1238-1-one-2,numerals-bart1238-1,Chan2019,one,1,yi,yi,,false,1,,
3,numerals-bart1238-1-two-1,numerals-bart1238-1,Chan2019,two,2,ðaw,daw,,false,2,,
4,numerals-bart1238-1-three-1,numerals-bart1238-1,Chan2019,three,3,aráy,aray,,false,3,,
5,numerals-bart1238-1-four-1,numerals-bart1238-1,Chan2019,four,4,cavōr,cavor,,false,4,,
6,numerals-bart1238-1-five-1,numerals-bart1238-1,Chan2019,five,5,pinj,pinj,,false,5,,
7,numerals-bart1238-1-six-1,numerals-bart1238-1,Chan2019,six,6,xöw,xow,,false,6,,
8,numerals-bart1238-1-seven-1,numerals-bart1238-1,Chan2019,seven,7,ūvd,uvd,,false,7,,
9,numerals-bart1238-1-eight-1,numerals-bart1238-1,Chan2019,eight,8,wax̌t,waxt,,false,8,,
10,numerals-bart1238-1-nine-1,numerals-bart1238-1,Chan2019,nine,9,nāw,naw,,false,9,,
11,numerals-bart1238-1-ten-1,numerals-bart1238-1,Chan2019,ten,10,ðus,dus,,false,10,,
12,numerals-bart1238-1-eleven-1,numerals-bart1238-1,Chan2019,eleven,11,jozdah,jozdah,,false,1+10′,borrowed from Tajik (a fellow Indo-Iranian Indo-European language),
13,numerals-bart1238-1-twelve-1,numerals-bart1238-1,Chan2019,twelve,12,duvozdah,duvozdah,,false,2+10′,borrowed from Tajik (a fellow Indo-Iranian Indo-European language),
14,numerals-bart1238-1-thirteen-1,numerals-bart1238-1,Chan2019,thirteen,13,sezdah,sezdah,,false,3′+10′,borrowed from Tajik (a fellow Indo-Iranian Indo-European language),
15,numerals-bart1238-1-fourteen-1,numerals-bart1238-1,Chan2019,fourteen,14,t͡ʃozdah,tsozdah,,false,4+10′,borrowed from Tajik (a fellow Indo-Iranian Indo-European language),
16,numerals-bart1238-1-fifteen-1,numerals-bart1238-1,Chan2019,fifteen,15,ponzdah,ponzdah,,false,5+10′,borrowed from Tajik (a fellow Indo-Iranian Indo-European language),
17,numerals-bart1238-1-sixteen-1,numerals-bart1238-1,Chan2019,sixteen,16,ʃonzdah,sonzdah,,false,6+10′,borrowed from Tajik (a fellow Indo-Iranian Indo-European language),
18,numerals-bart1238-1-seventeen-1,numerals-bart1238-1,Chan2019,seventeen,17,hafdah,hafdah,,false,7′+10′,borrowed from Tajik (a fellow Indo-Iranian Indo-European language),
19,numerals-bart1238-1-eighteen-1,numerals-bart1238-1,Chan2019,eighteen,18,haʒdah,hazdah,,false,8′+10′,borrowed from Tajik (a fellow Indo-Iranian Indo-European language),
20,numerals-bart1238-1-nineteen-1,numerals-bart1238-1,Chan2019,nineteen,19,nuzdah,nuzdah,,false,9+10′,borrowed from Tajik (a fellow Indo-Iranian Indo-European language),
21,numerals-bart1238-1-twenty-1,numerals-bart1238-1,Chan2019,twenty,20,bist,bist,,false,20,borrowed from Tajik (a fellow Indo-Iranian Indo-European language); historically 2⋅10,
