"Language_ID","ID","Parameter_ID","Value","Form","Gloss","Alternate_Gloss","Comment_Glosser"
"chig1238-1","chig1238-1-1-1",1,"émʷè","émʷè","1","1",NA
"chig1238-1","chig1238-1-2-1",2,"ìβìɾí","ìβìɾí","{CL}2","2",NA
"chig1238-1","chig1238-1-3-1",3,"ìʃɑ̀tú","ìʃɑ̀tú","{CL}3","3",NA
"chig1238-1","chig1238-1-4-1",4,"ínɑ̀","ínɑ̀","{CL}4","4",NA
"chig1238-1","chig1238-1-5-1",5,"ìtʰɑ́ːnó","ìtʰɑ́ːnó","{CL}5","5",NA
"chig1238-1","chig1238-1-6-1",6,"mùkɑ̂ːɡɑ̀","mùkɑ̂ːɡɑ̀","{CL’}6",NA,NA
"chig1238-1","chig1238-1-7-1",7,"mùʃɑ́ˑⁿʒú","mùʃɑ́ˑⁿʒú","{CL’}7",NA,NA
"chig1238-1","chig1238-1-8-1",8,"mùnɑ̂ːnɑ̀","mùnɑ̂ːnɑ̀","{CL’}4+4","x4","omu (mu) = in"
"chig1238-1","chig1238-1-9-1",9,"mʷèˑⁿdɑ̀","mʷèˑⁿdɑ̀","9","9",NA
"chig1238-1","chig1238-1-10-1",10,"ìkúmì","ìkúmì","{CL}10","10",NA
"chig1238-1","chig1238-1-11-1",11,"ìkúmì néːmʷè","ìkúmì néːmʷè","{CL}10+{+}1","10+1",NA
"chig1238-1","chig1238-1-12-1",12,"ìkúmì nèⁱβíɾí","ìkúmì nèⁱβíɾí","{CL}10+{+}{CL}2","10+2",NA
"chig1238-1","chig1238-1-13-1",13,"ìkúmì néⁱʃɑ̀tù","ìkúmì néⁱʃɑ̀tù","{CL}10+{+}{CL}3","10+3",NA
"chig1238-1","chig1238-1-14-1",14,"ìkúmì néⁱnɑ̀","ìkúmì néⁱnɑ̀","{CL}10+{+}{CL}4","10+4",NA
"chig1238-1","chig1238-1-15-1",15,"ìkúmì nèⁱtɑ̀ːnò","ìkúmì nèⁱtɑ̀ːnò","{CL}10+{+}{CL}5","10+5",NA
"chig1238-1","chig1238-1-16-1",16,"ìkúmì nɑ̀mùkɑ̂ːɡɑ̀","ìkúmì nɑ̀mùkɑ̂ːɡɑ̀","{CL}10+{+}{CL’}6","10+(5+1)",NA
"chig1238-1","chig1238-1-17-1",17,"ìkúmì nɑ́mùʃɑ́ˑⁿʒù","ìkúmì nɑ́mùʃɑ́ˑⁿʒù","{CL}10+{+}{CL’}7","10+(5+2)",NA
"chig1238-1","chig1238-1-18-1",18,"ìkúmì nɑ̀mùnɑ́ːnɑ̀","ìkúmì nɑ̀mùnɑ́ːnɑ̀","{CL}10+{+}{CL’}4+4","10+(5+3)",NA
"chig1238-1","chig1238-1-19-1",19,"ìkúmì nɑ̀mʷèˑⁿdɑ̀","ìkúmì nɑ̀mʷèˑⁿdɑ̀","{CL}10+{+}9","10+(5+4)",NA
"chig1238-1","chig1238-1-20-1",20,"(mɑ̀kùmí) ɑ̀ːβìɾí","(mɑ̀kùmí) ɑ̀ːβìɾí","{CL”}10+{+}{PLU}2","10·2",NA
"chig1238-1","chig1238-1-21-1",21,"ɑ̀ːβíɾì néːmʷè","ɑ̀ːβíɾì néːmʷè","{PLU}2+{+}1","(10·2)+1",NA
"chig1238-1","chig1238-1-22-1",22,"ɑ̀ːβíɾí nèⁱβíɾí","ɑ̀ːβíɾí nèⁱβíɾí","{PLU}2+{+}{CL}2","(10·2)+2",NA
"chig1238-1","chig1238-1-23-1",23,"ɑ̀ːβíɾí nèⁱʃɑ̀tù","ɑ̀ːβíɾí nèⁱʃɑ̀tù","{PLU}2+{+}{CL}3","(10·2)+3",NA
"chig1238-1","chig1238-1-24-1",24,"ɑ̀ːβíɾí néⁱnɑ́","ɑ̀ːβíɾí néⁱnɑ́","{PLU}2+{+}{CL}4","(10·2)+4",NA
"chig1238-1","chig1238-1-25-1",25,"ɑ̀ːβíɾí nèⁱtɑ̀ːnó","ɑ̀ːβíɾí nèⁱtɑ̀ːnó","{PLU}2+{+}{CL}5","(10·2)+5",NA
"chig1238-1","chig1238-1-26-1",26,"ɑ̀ːβíɾí nɑ̀mùkɑ̂ːɡɑ̀","ɑ̀ːβíɾí nɑ̀mùkɑ̂ːɡɑ̀","{PLU}2+{+}{CL”}6","(10·2)+(5+1)",NA
"chig1238-1","chig1238-1-27-1",27,"ɑ̀ːβíɾí nɑ̀mùʃɑ́ˑⁿʒú","ɑ̀ːβíɾí nɑ̀mùʃɑ́ˑⁿʒú","{PLU}2+{+}{CL”}7","(10·2)+(5+2)",NA
"chig1238-1","chig1238-1-28-1",28,"ɑ̀ːβíɾí nɑ̀mùnɑ́ːnɑ̀","ɑ̀ːβíɾí nɑ̀mùnɑ́ːnɑ̀","{PLU}2+{+}{CL”}4+4","(10·2)+(5+3)",NA
"chig1238-1","chig1238-1-29-1",29,"ɑ̀ːβíɾí nɑ̀mʷèˑⁿdɑ̀","ɑ̀ːβíɾí nɑ̀mʷèˑⁿdɑ̀","{PLU}2+{+}{CL”}9","(10·2)+(5+4)",NA
"chig1238-1","chig1238-1-30-1",30,"ɑ̀ːʃɑ̀tú","ɑ̀ːʃɑ̀tú","{PLU}3","x3","x likely plural marker and ten is ellided"
"chig1238-1","chig1238-1-40-1",40,"ɑ́ːnɑ̀","ɑ́ːnɑ̀","{PLU}4","x4",NA
"chig1238-1","chig1238-1-50-1",50,"ɑ̀ːtɑ̀ːnó","ɑ̀ːtɑ̀ːnó","{PLU}5","x5",NA
"chig1238-1","chig1238-1-60-1",60,"ŋ̩kɑ̂ːɡɑ̀","ŋ̩kɑ̂ːɡɑ̀","{PLU’}6’","x·(5+1)",NA
"chig1238-1","chig1238-1-70-1",70,"n̩sɑ̀ˑⁿʒú","n̩sɑ̀ˑⁿʒú","{PLU’}7","x·(5+2)",NA
"chig1238-1","chig1238-1-80-1",80,"kìnɑ̂ːnɑ̀","kìnɑ̂ːnɑ̀","{?}4+4","x·(5+3)",NA
"chig1238-1","chig1238-1-90-1",90,"kʸêˑⁿdɑ̀","kʸêˑⁿdɑ̀","{CL}9","x·(5+4)",NA
