Language_ID	Language_Name	Family	Glottocode	Base	Base_subsystem	Annotator	Comment
numerals-jura1242-1	Juray, Odihsa, India	Austroasiatic	jura1242	mixed		Mamta Kumari	Because of borrowing from IA, the system is mixed with decimal-vigesimal. Even crowns (40,60,80) are vigesimal and odd crowns (30,50,70,90) are decimal.
numerals-kaco1239-1	Kaco' (Kachok), Cambodia	Austroasiatic	kaco1239	decimal		Mamta Kumari	
numerals-kave1238-1	Kravet (Kavet), Cambodia	Austroasiatic	kave1238	decimal		Mamta Kumari	
numerals-khan1274-1	Bumang, China	Austroasiatic	khan1274	decimal		Mamta Kumari	
numerals-khan1274-3	Khao, Vietnam	Austroasiatic	khan1274	decimal		Mamta Kumari	
numerals-khar1287-1	Kharia, India	Austroasiatic	khar1287	vigesimal		Mamta Kumari	
numerals-khas1269-1	Khasi, Meghalaya, India	Austroasiatic	khas1269	decimal		Mamta Kumari	
numerals-khas1269-2	Khasi, Meghalaya, India	Austroasiatic	khas1269	decimal		Mamta Kumari	
numerals-khmu1256-3	Khmu, China, Laos	Austroasiatic	khmu1256	decimal		Mamta Kumari	Borrowed from Tai.
numerals-kint1239-1	Kintaq, Malaya Peninsula	Austroasiatic	kint1239	decimal		Mamta Kumari	
numerals-koda1254-1	Koraku (Kodaku), India	Austroasiatic	koda1254	decimal		Mamta Kumari	
numerals-koho1244-1	Ko'ho (Sre), Vietnam	Austroasiatic	koho1244	decimal		Mamta Kumari	
numerals-kork1243-1	Korku, Madhya Pardesh, India	Austroasiatic	kork1243	decimal		Mamta Kumari	
numerals-korw1242-1	Korwa, India	Austroasiatic	korw1242	decimal		Mamta Kumari	
numerals-korw1242-2	Korwa, India	Austroasiatic	korw1242	vigesimal		Mamta Kumari	
numerals-krun1240-1	Krung2, Cambodia	Austroasiatic	krun1240	decimal		Mamta Kumari	
numerals-lame1256-1	Lamet, Laos, Thailand	Austroasiatic	lame1256	decimal		Mamta Kumari	
numerals-lano1248-1	Lanoh, Malaysia	Austroasiatic	lano1248	decimal		Mamta Kumari	
numerals-lave1248-1	Laven (Jru', Boloven), Laos	Austroasiatic	lave1248	decimal		Mamta Kumari	
numerals-lave1249-1	Lave (Brao), Laos, Cambodia, Laos	Austroasiatic	lave1249	decimal		Mamta Kumari	
numerals-lowe1395-1	Lower Ta-oaih, Laos	Austroasiatic	lowe1395	decimal		Mamta Kumari	Use of conjunctive marker between atom and base.
numerals-lyng1241-1	Lyngngam, India	Austroasiatic	lyng1241	decimal		Mamta Kumari	
numerals-lyng1241-2	Lyngngam, India	Austroasiatic	lyng1241	decimal		Mamta Kumari	
numerals-maha1291-1	Mahali (Mahli), India	Austroasiatic	maha1291	vigesimal		Mamta Kumari	
numerals-male1282-1	Maleng (Pakatan), Laos	Austroasiatic	male1282	decimal		Mamta Kumari	
numerals-mall1246-1	Mal (Tin), Thailand, Laos	Austroasiatic	mall1246	decimal		Mamta Kumari	
numerals-mang1378-1	Mang, Yunnan, China, Vietnam	Austroasiatic	mang1378	decimal		Mamta Kumari	
numerals-manm1238-1	Kemi (Manmet), China	Austroasiatic	manm1238	decimal		Mamta Kumari	
numerals-mega1243-1	Megam, Bangladesh	Austroasiatic	mega1243	decimal		Mamta Kumari	
numerals-minr1238-1	Menriq, Malaya Peninsula	Austroasiatic	minr1238	decimal		Mamta Kumari	
numerals-mint1239-1	Mintil, Malaya Peninsula	Austroasiatic	mint1239	decimal		Mamta Kumari	
numerals-mlab1235-1	Mlabri, Nan province, Thailand	Austroasiatic	mlab1235	decimal		Mamta Kumari	
numerals-monn1252-1	Mon, Myanmar	Austroasiatic	monn1252	decimal		Mamta Kumari	
numerals-mund1320-1	Mundari, India	Austroasiatic	mund1320	vigesimal		Mamta Kumari	
numerals-muon1246-1	Muong, Vietnam	Austroasiatic	muon1246	decimal		Mamta Kumari	
numerals-ngeq1245-1	Ngeq, Laos	Austroasiatic	ngeq1245	decimal		Mamta Kumari	
numerals-nguo1239-1	Nguôn, Vietnam	Austroasiatic	nguo1239	decimal		Mamta Kumari	
numerals-nort2684-1	Northern Khmer, Thailand	Austroasiatic	nort2684	mixed		Mamta Kumari	Quinary-decimal
numerals-nort3270-1	Northern Kataang, Laos	Austroasiatic	nort3270	decimal		Mamta Kumari	
numerals-nucl1290-1	Vo-Awa (Meung Hom), Myanmar, China	Austroasiatic	nucl1290	decimal		Mamta Kumari	
numerals-nucl1290-2	Vo-Awa Wa (Awa), China, Myanmar	Austroasiatic	nucl1290	decimal		Mamta Kumari	
numerals-nyah1249-1	Nyaheun, Laos	Austroasiatic	nyah1249	decimal		Mamta Kumari	
numerals-nyah1250-1	Nyah Kur, Thailand	Austroasiatic	nyah1250	decimal		Mamta Kumari	
numerals-oduu1239-1	Tayhat (O'du), Vietnam, Laos	Austroasiatic	oduu1239	decimal		Mamta Kumari	
numerals-oyyy1238-1	Oi (Oy), Laos	Austroasiatic	oyyy1238	decimal		Mamta Kumari	
numerals-paco1243-1	Pacoh, Vietnam	Austroasiatic	paco1243	decimal		Mamta Kumari	Use of conjunctive marker between atom and base.
numerals-para1301-1	Parauk Wa, Myanmar, China	Austroasiatic	para1301	decimal		Mamta Kumari	
numerals-para1301-2	Parauk Wa (Nam La), China, Myanmar	Austroasiatic	para1301	decimal		Mamta Kumari	
numerals-para1301-3	Parauk Wa, China	Austroasiatic	para1301	decimal		Mamta Kumari	
numerals-pare1266-1	Gorum (Parengi), India	Austroasiatic	pare1266	parallel		Mamta Kumari	
numerals-pear1247-1	Pear, Cambodia	Austroasiatic	pear1247	mixed		Mamta Kumari	This system is mixed with Quinary-Decimal.
numerals-phai1238-1	Prai, Thailand, Laos	Austroasiatic	phai1238	decimal		Mamta Kumari	
numerals-pnar1238-1	Pnar (Synteng), Assam, India	Austroasiatic	pnar1238	decimal		Mamta Kumari	
numerals-pnar1238-2	Pnar (Synteng), Assam, India	Austroasiatic	pnar1238	decimal		Mamta Kumari	
numerals-puoc1238-1	Puôc, Vietnam	Austroasiatic	puoc1238	decimal		Mamta Kumari	
numerals-rali1240-1	Pnar (Ralliang Pnar), Assam, India	Austroasiatic	rali1240	decimal		Mamta Kumari	
numerals-rali1240-2	Pnar (Synteng, Raliang dialect), Assam, India	Austroasiatic	rali1240	decimal		Mamta Kumari	
numerals-reng1252-1	Rengao, Vietnam	Austroasiatic	reng1252	decimal		Mamta Kumari	
numerals-rian1261-1	Riang-Sak, Myanmar	Austroasiatic	rian1261	decimal		Mamta Kumari	
numerals-ruch1235-1	Pale Palaung (De'ang), China	Austroasiatic	ruch1235	decimal		Mamta Kumari	
numerals-ruch1235-2	Shwe Palaung (De'ang), China	Austroasiatic	ruch1235	decimal		Mamta Kumari	
numerals-sabu1253-1	Sabüm, Malaya Peninsula	Austroasiatic	sabu1253	decimal		Mamta Kumari	
numerals-samt1238-1	Samtao, Myanmar, Thailand	Austroasiatic	samt1238	decimal		Mamta Kumari	
numerals-sant1410-1	Santali, India	Austroasiatic	sant1410	parallel		Mamta Kumari	Decimal and vigesimal, both co-exists.
numerals-sapu1248-1	Sapuan, Laos	Austroasiatic	sapu1248	decimal		Mamta Kumari	
numerals-seda1262-1	Sedang, Vietnam	Austroasiatic	seda1262	decimal		Mamta Kumari	
numerals-sema1265-1	Semaq Beri, Malaya Peninsula	Austroasiatic	sema1265	decimal		Mamta Kumari	
numerals-sema1266-1	Semai, Malaya Peninsula	Austroasiatic	sema1266	decimal		Mamta Kumari	
numerals-sema1266-2	Semai, Malaya Peninsula	Austroasiatic	sema1266	decimal		Mamta Kumari	
numerals-seme1247-1	Semelai, Malaya Peninsula	Austroasiatic	seme1247	decimal		Mamta Kumari	
numerals-semn1250-1	Semnam, Malaya Peninsula	Austroasiatic	semn1250	decimal		Mamta Kumari	
numerals-somr1240-1	Samre, Cambodia	Austroasiatic	somr1240	decimal		Mamta Kumari	
numerals-somr1240-2	Somray, Cambodia	Austroasiatic	somr1240	decimal		Mamta Kumari	
numerals-sooo1254-1	Sô (Soː), Laos, Thailand	Austroasiatic	sooo1254	decimal		Mamta Kumari	Use of conjunctive marker between atom and base.
numerals-sooo1254-2	Sô (Soː), Laos, Thailand	Austroasiatic	sooo1254	decimal		Mamta Kumari	Use of conjunctive marker between atom and base.
numerals-sora1254-1	Sora, Rayagada Dt., Orissa, India	Austroasiatic	sora1254	duodecimal		Mamta Kumari	
numerals-sora1254-2	Sora, Rayagada Dt., Orissa, India	Austroasiatic	sora1254	duodecimal		Mamta Kumari	
numerals-sora1254-3	Sora, India	Austroasiatic	sora1254	duodecimal		Mamta Kumari	
numerals-sout3251-1	Southern Kataang, Laos	Austroasiatic	sout3251	decimal		Mamta Kumari	
numerals-suoy1242-1	Suoy, Cambodia	Austroasiatic	suoy1242	decimal		Mamta Kumari	
numerals-tail1246-1	Tai Loi, Myanmar, Laos	Austroasiatic	tail1246	decimal		Mamta Kumari	
numerals-tail1246-2	Tai Loi, Myanmar, Laos	Austroasiatic	tail1246	decimal		Mamta Kumari	
numerals-tamp1251-1	Tampuan, Cambodia	Austroasiatic	tamp1251	decimal		Mamta Kumari	
numerals-temi1246-1	Temiar, Malaya Peninsula	Austroasiatic	temi1246	decimal		Mamta Kumari	
numerals-temo1243-1	Temoq, Malaya Peninsula	Austroasiatic	temo1243	decimal		Mamta Kumari	
numerals-temo1243-2	Temoq, Malaya Peninsula	Austroasiatic	temo1243	decimal		Mamta Kumari	
numerals-tere1272-1	Luro (Teressa), Nicobar Islands, India	Austroasiatic	tere1272	decimal		Mamta Kumari	
numerals-thoo1240-1	Tho, Vietnam	Austroasiatic	thoo1240	decimal		Mamta Kumari	
numerals-todr1244-1	Todrah (Mo'dra), Vietnam	Austroasiatic	todr1244	decimal		Mamta Kumari	
numerals-turi1246-1	Turi, India	Austroasiatic	turi1246	mixed		Mamta Kumari	Quinary-Vigesimal (more data needed)
numerals-uppe1406-1	Upper Ta-oih, Laos	Austroasiatic	uppe1406	decimal		Mamta Kumari	Use of conjunctive marker between atom and base.
numerals-uuuu1243-1	U, China	Austroasiatic	uuuu1243	decimal		Mamta Kumari	
numerals-viet1252-1	Vietnamese, Vietnam	Austroasiatic	viet1252	decimal		Mamta Kumari	
numerals-warj1242-1	War (Jaintia), Bangladesh, India	Austroasiatic	warj1242	decimal		Mamta Kumari	
numerals-warj1242-2	War (Nongbareh), Assam, India, Bangladesh	Austroasiatic	warj1242	decimal		Mamta Kumari	
numerals-warj1242-3	War (Thangbuli Amwi), India, Bangladesh	Austroasiatic	warj1242	decimal		Mamta Kumari	
numerals-warj1242-4	War (Kudeng Nongbareh-Nongtalang), Assam, India, Bangladesh	Austroasiatic	warj1242	decimal		Mamta Kumari	
numerals-west2396-1	Western Lawa, Thailand, China	Austroasiatic	west2396	decimal		Mamta Kumari	
numerals-yinc1238-1	Yinchia, Myanmar	Austroasiatic	yinc1238	decimal		Mamta Kumari	
numerals-abar1238-1	Mungbam (Abar), Cameroon	Atlantic-Congo	abar1238	decimal		Enock Appiah Tieku	NA
numerals-abar1238-2	Mungbam (Missong), Cameroon	Atlantic-Congo	abar1238	decimal		Enock Appiah Tieku	NA
numerals-abar1238-3	Mungbam (Munken), Cameroon	Atlantic-Congo	abar1238	decimal		Enock Appiah Tieku	NA
numerals-abar1238-4	Mungbam (Biya), Cameroon	Atlantic-Congo	abar1238	decimal		Enock Appiah Tieku	NA
numerals-abee1242-1	Abé (Abbey), Côte d'Ivoire	Atlantic-Congo	abee1242	decimal		Enock Appiah Tieku	NA
numerals-abid1235-1	Abidji, Côte d'Ivoire	Atlantic-Congo	abid1235	decimal		Enock Appiah Tieku	NA
numerals-abro1238-1	Abron, Ghana, Côte d'Ivoire	Atlantic-Congo	abro1238	decimal		Enock Appiah Tieku	NA
numerals-abua1244-1	Abuan, Nigeria	Atlantic-Congo	abua1244	decimal		Enock Appiah Tieku	NA
numerals-abur1243-1	Abouré (Abure), Côte d'Ivoire	Atlantic-Congo	abur1243	decimal		Enock Appiah Tieku	NA
numerals-adam1253-1	Adamawa Fulfulde, Cameroon	Atlantic-Congo	adam1253	quinary AND decimal		Enock Appiah Tieku	NA
numerals-adan1247-1	Dangme, Ghana	Atlantic-Congo	adan1247	decimal		Enock Appiah Tieku	NA
numerals-adan1248-1	Adangbe, Ghana and Togo	Atlantic-Congo	adan1248	decimal		Enock Appiah Tieku	NA
numerals-adel1244-1	Adele, Togo, Ghana	Atlantic-Congo	adel1244	vigesimal		Enock Appiah Tieku	NA
numerals-adio1239-1	Adioukrou, Côte d'Ivoire	Atlantic-Congo	adio1239	vigesimal		Enock Appiah Tieku	NA
numerals-agat1236-1	Agatu, Nigeria	Atlantic-Congo	agat1236	quinary AND vigesimal		Enock Appiah Tieku	NA
numerals-aghe1239-1	Aghem, Cameroon	Atlantic-Congo	aghe1239	decimal		Enock Appiah Tieku	NA
numerals-agwa1247-1	Agwagwune, Nigeria	Atlantic-Congo	agwa1247	quinary AND vigesimal		Enock Appiah Tieku	NA
numerals-ahan1243-1	Ahanta, Ghana	Atlantic-Congo	ahan1243	decimal		Enock Appiah Tieku	NA
numerals-ajab1235-1	Aja-Gbe (Aja), Togo, Benin	Atlantic-Congo	ajab1235	mixed		Enock Appiah Tieku	NA
numerals-akan1250-1	Akan (Akuapem Twi), Ghana	Atlantic-Congo	akan1250	decimal		Enock Appiah Tieku	NA
numerals-akan1250-2	Akan, Ghana	Atlantic-Congo	akan1250	decimal		Enock Appiah Tieku	NA
numerals-akas1242-1	Akaselem, Togo	Atlantic-Congo	akas1242	vigesimal		Enock Appiah Tieku	NA
numerals-akeb1238-1	Akebu, Togo	Atlantic-Congo	akeb1238	decimal		Enock Appiah Tieku	NA
numerals-akeb1238-2	Akebu, Togo	Atlantic-Congo	akeb1238	decimal		Enock Appiah Tieku	NA
numerals-akoo1248-1	Akoose (Bakoose), Cameroon	Atlantic-Congo	akoo1248	decimal		Enock Appiah Tieku	NA
numerals-akpe1248-1	Akpes, Nigeria	Atlantic-Congo	akpe1248	decimal AND vigesimal		Enock Appiah Tieku	NA
numerals-akum1238-1	Akum, Cameroon	Atlantic-Congo	akum1238	quinary AND vigesimal		Enock Appiah Tieku	NA
numerals-akwa1248-1	Akwa, DR of the Congo	Atlantic-Congo	akwa1248	decimal		Enock Appiah Tieku	NA
numerals-alag1242-1	Alago, Nigeria	Atlantic-Congo	alag1242	quinary AND decimal		Enock Appiah Tieku	NA
numerals-alla1248-1	Alladian, Lagunes, Côte d'Ivoire	Atlantic-Congo	alla1248	vigesimal		Enock Appiah Tieku	NA
numerals-alum1246-1	Alumu-Tesu, Nasarawa State, Nigeria	Atlantic-Congo	alum1246	decimal		Enock Appiah Tieku	NA
