Language_ID	Language_Name	Family	Glottocode	Base	Base_subsystem	Annotator	Comment
numerals-amba1263-1	Kwamba (Amba), Uganda, DR of the Congo	Atlantic-Congo	amba1263	vigesimal		Enock Appiah Tieku	NA
numerals-anaa1238-1	Anaang, Nigeria	Atlantic-Congo	anaa1238	quinary AND vigesimal		Enock Appiah Tieku	NA
numerals-anuf1239-1	Anufo, Ghana, Togo, Benin	Atlantic-Congo	anuf1239	decimal		Enock Appiah Tieku	NA
numerals-anyi1245-1	Anyin, Côte d'Ivoire, Ghana	Atlantic-Congo	anyi1245	decimal		Enock Appiah Tieku	NA
numerals-asut1235-1	Asu (Pare), Tanzania	Atlantic-Congo	asut1235	decimal		Enock Appiah Tieku	NA
numerals-atti1239-1	Attié, Côte d'Ivoire	Atlantic-Congo	atti1239	decimal		Enock Appiah Tieku	NA
numerals-avat1244-1	Avatime, Ghana	Atlantic-Congo	avat1244	decimal		Enock Appiah Tieku	NA
numerals-avik1243-1	Avikam, Lagunes, Côte d'Ivoire	Atlantic-Congo	avik1243	vigesimal		Enock Appiah Tieku	NA
numerals-awak1250-1	Awak, Nigeria	Atlantic-Congo	awak1250	decimal		Enock Appiah Tieku	NA
numerals-awak1250-2	Awak, Nigeria	Atlantic-Congo	awak1250	decimal		Enock Appiah Tieku	NA
numerals-awin1248-1	Awing, Cameroon	Atlantic-Congo	awin1248	decimal		Enock Appiah Tieku	NA
numerals-awin1248-2	Awing, Cameroon	Atlantic-Congo	awin1248	decimal		Enock Appiah Tieku	NA
numerals-awut1241-1	Awutu (Awutu-Efutu), Ghana	Atlantic-Congo	awut1241	decimal		Enock Appiah Tieku	NA
numerals-ayer1245-1	Ayere (Úwû), Nigeria	Atlantic-Congo	ayer1245	vigesimal		Enock Appiah Tieku	NA
numerals-ayuu1242-1	Ayu, Nigeria	Atlantic-Congo	ayuu1242	decimal		Enock Appiah Tieku	NA
numerals-baat1238-2	Baatonum, Benin, Nigeria	Atlantic-Congo	baat1238	mixed		Enock Appiah Tieku	NA
numerals-baba1264-1	Baba1 (Papia), Cameroon	Atlantic-Congo	baba1264	decimal		Enock Appiah Tieku	NA
numerals-baba1264-2	Baba (Papia), Cameroon	Atlantic-Congo	baba1264	decimal		Enock Appiah Tieku	NA
numerals-baba1266-1	Babanki (Kejom), Cameroon	Atlantic-Congo	baba1266	decimal		Enock Appiah Tieku	NA
numerals-bada1258-1	Bada, Nigeria	Atlantic-Congo	bada1258	quinary AND decimal		Enock Appiah Tieku	NA
numerals-bady1239-1	Badyara, Senegal, Guinea	Atlantic-Congo	bady1239	quinary AND decimal		Enock Appiah Tieku	NA
numerals-bafa1249-1	Bafanji, Cameroon	Atlantic-Congo	bafa1249	decimal		Enock Appiah Tieku	NA
numerals-bafi1243-1	Bafia (Kpa), Cameroon	Atlantic-Congo	bafi1243	quinary AND vigesimal		Enock Appiah Tieku	NA
numerals-bafu1246-1	Bafut, Cameroon	Atlantic-Congo	bafu1246	decimal		Enock Appiah Tieku	NA
numerals-bafu1246-2	Bafut, Cameroon	Atlantic-Congo	bafu1246	decimal		Enock Appiah Tieku	NA
numerals-baga1270-1	Baga Mandori, Guinea	Atlantic-Congo	baga1270	quinary AND decimal		Enock Appiah Tieku	NA
numerals-baga1272-1	Baga Sitemu, Guinea	Atlantic-Congo	baga1272	quinary AND decimal		Enock Appiah Tieku	NA
numerals-bago1245-1	Bago-Kusuntu, Togo	Atlantic-Congo	bago1245	vigesimal		Enock Appiah Tieku	NA
numerals-bain1261-1	Baïnounk Gubëeher, Senegal	Atlantic-Congo	bain1261	quinary AND vigesimal		Enock Appiah Tieku	NA
numerals-bain1261-2	Gunyaamolo Banyun, Senegal	Atlantic-Congo	bain1261	quinary AND vigesimal		Enock Appiah Tieku	NA
numerals-bain1261-3	Gunyaamolo Banyun, Senegal	Atlantic-Congo	bain1261	quinary AND vigesimal		Enock Appiah Tieku	NA
numerals-baka1272-1	Baka, Cameroon	Atlantic-Congo	baka1272	quinary AND decimal		Enock Appiah Tieku	NA
numerals-baka1273-1	Bakaka (Mkaa), Cameroon	Atlantic-Congo	baka1273	decimal		Enock Appiah Tieku	NA
numerals-bako1249-1	Bakoko, Cameroon	Atlantic-Congo	bako1249	decimal		Enock Appiah Tieku	NA
numerals-bala1301-1	Balanta-Kentohe, Guinea-Bissau	Atlantic-Congo	bala1301	decimal		Enock Appiah Tieku	NA
numerals-bala1302-1	Balanta-Ganja, Senegal	Atlantic-Congo	bala1302	decimal		Enock Appiah Tieku	NA
numerals-bali1245-1	Bali (Maya), Nigeria	Atlantic-Congo	bali1245	quinary AND vigesimal		Enock Appiah Tieku	NA
numerals-bali1274-1	Bali (Kibali), DR of the Congo	Atlantic-Congo	bali1274	decimal		Enock Appiah Tieku	NA
numerals-bama1251-1	Bamali (Papia), Cameroon	Atlantic-Congo	bama1251	decimal		Enock Appiah Tieku	NA
numerals-bamb1265-1	Bambalang, Cameroon	Atlantic-Congo	bamb1265	decimal		Enock Appiah Tieku	NA
numerals-bamb1266-1	Bambili-Bambui, Cameroon	Atlantic-Congo	bamb1266	decimal		Enock Appiah Tieku	NA
numerals-bamb1266-2	Bambili-Bambui, Cameroon	Atlantic-Congo	bamb1266	decimal		Enock Appiah Tieku	NA
numerals-bamb1266-3	Mbəkum (Mankon), Cameroon	Atlantic-Congo	bamb1266	decimal		Enock Appiah Tieku	NA
numerals-bamb1266-4	Ngemba (Mankon), Cameroon	Atlantic-Congo	bamb1266	decimal		Enock Appiah Tieku	NA
numerals-bamu1253-1	Bamun (Shupamen), Cameroon	Atlantic-Congo	bamu1253	decimal		Enock Appiah Tieku	NA
numerals-bamu1253-2	Bamun (Bamum), Cameroon	Atlantic-Congo	bamu1253	decimal		Enock Appiah Tieku	NA
numerals-bamu1254-1	Bamukumbit, Cameroon	Atlantic-Congo	bamu1254	decimal		Enock Appiah Tieku	NA
numerals-bamu1256-1	Bamunka, Cameroon	Atlantic-Congo	bamu1256	decimal		Enock Appiah Tieku	NA
numerals-bamu1256-2	Bamunka, Cameroon	Atlantic-Congo	bamu1256	decimal		Enock Appiah Tieku	NA
numerals-bamw1238-1	Bamwe (Libóbi), DR of the Congo	Atlantic-Congo	bamw1238	decimal		Enock Appiah Tieku	NA
numerals-band1340-1	Bandial, Senegal	Atlantic-Congo	band1340	quinary AND vigesimal		Enock Appiah Tieku	NA
numerals-band1344-1	Banda-Linda, CAR	Atlantic-Congo	band1344	quinary AND vigesimal		Enock Appiah Tieku	NA
numerals-band1344-2	Banda-Linda, CAR	Atlantic-Congo	band1344	quinary AND vigesimal		Enock Appiah Tieku	NA
numerals-bang1348-2	Bangunji (Bangwinji), Nigeria	Atlantic-Congo	bang1348	decimal		Enock Appiah Tieku	NA
numerals-bang1350-1	Bangubangu, DR of the Congo	Atlantic-Congo	bang1350	decimal		Enock Appiah Tieku	NA
numerals-bang1353-1	Bangala, DR of the Congo	Atlantic-Congo	bang1353	vigesimal		Enock Appiah Tieku	NA
numerals-bang1356-1	Bangolan, Cameroon	Atlantic-Congo	bang1356	decimal		Enock Appiah Tieku	NA
numerals-bank1256-1	Bankon (Abo), Cameroon	Atlantic-Congo	bank1256	decimal		Enock Appiah Tieku	NA
numerals-baou1238-1	Baule (Baoulé), Côte d'Ivoire	Atlantic-Congo	baou1238	decimal		Enock Appiah Tieku	NA
numerals-bara1362-1	Barama (Gibarama), Gabon	Atlantic-Congo	bara1362	decimal		Enock Appiah Tieku	NA
numerals-baro1252-1	Barombi, Cameroon	Atlantic-Congo	baro1252	decimal		Enock Appiah Tieku	NA
numerals-basa1284-1	Bassa, Cameroon	Atlantic-Congo	basa1284	decimal		Enock Appiah Tieku	NA
numerals-bass1258-1	Oniyan (Bassari), Senegal	Atlantic-Congo	bass1258	quinary AND decimal		Enock Appiah Tieku	NA
