NUMBER	NUMBER_VALUE	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
1	1	One	1493	ONE
2	2	Two	1498	TWO
3	3	Three	492	THREE
4	4	Four	1500	FOUR
5	5	Five	493	FIVE
6	6	Six	1703	SIX
7	7	Seven	1704	SEVEN
8	8	Eight	1705	EIGHT
9	9	Nine	1483	NINE
10	10	Ten	1515	TEN
11	11	Eleven	1706	ELEVEN
12	12	Twelve	1707	TWELVE
13	13	Thirteen	1708	THIRTEEN
14	14	Fourteen	2451	FOURTEEN
15	15	Fifteen	1709	FIFTEEN
16	16	Sixteen	2454	SIXTEEN
17	17	Seventeen	2453	SEVENTEEN
18	18	Eighteen	1713	EIGHTEEN
19	19	Nineteen	1714	NINETEEN
20	20	Twenty	1710	TWENTY
21	21	Twenty One	1734	TWENTY ONE
22	22	Twenty Two	3166	TWENTY TWO
23	23	Twenty Three	3165	TWENTY THREE
24	24	Twenty Four	1736	TWENTY FOUR
25	25	Twenty Five	1738	TWENTY FIVE
26	26	Twenty Six	3476	TWENTY SIX
27	27	Twenty Seven	3477	TWENTY SEVEN
28	28	Twenty Eight	3478	TWENTY EIGHT
29	29	Twenty Nine	3479	TWENTY NINE
30	30	Thirty	1715	THIRTY
31	31	Thirty One	3480	THIRTY ONE
32	32	Thirty Two	3481	THIRTY TWO
33	33	Thirty Three	3482	THIRTY THREE
34	34	Thirty Four	3483	THIRTY FOUR
35	35	Thirty Five	3484	THIRTY FIVE
36	36	Thirty Six	3485	THIRTY SIX
37	37	Thirty Seven	3486	THIRTY SEVEN
38	38	Thirty Eight	3487	THIRTY EIGHT
39	39	Thirty Nine	3488	THIRTY NINE
40	40	Forty	1716	FORTY
50	50	Fifty	1717	FIFTY
60	60	Sixty	1718	SIXTY
70	70	Seventy	1721	SEVENTY
80	80	Eighty	1722	EIGHTY
90	90	Ninety	1724	NINETY
100	100	Hundred	1634	HUNDRED
1000	1000	Thousand	1843	THOUSAND
