File,Glottocode,Language-level_Glottocode,Use_in_analyses
AA125-numerals-muon1246-1.csv,muon1246,muon1246,YES
AA126-numerals-nguo1239-1.csv,nguo1239,nguo1239,YES
AA127-numerals-viet1252-1_edited.csv,viet1252,viet1252,YES
Africa001-SouthOmotic-numerals-aari1239-1.csv,aari1239,aari1239,YES
Africa002-SouthOmotic-numerals-gayi1237-1.csv,gayi1237,gayi1237,YES
Africa003-SouthOmotic-numerals-hame1242-1.csv,hame1242,hame1242,YES
Africa004-SouthOmotic-numerals-karo1297-1.csv,karo1297,karo1297,YES
Africa005-TaNeOmotic-numerals-gamo1243-1.csv,gamo1243,gamo1243,YES
Africa006-isolate-Shabo-numerals-shab1252-1.csv,shab1252,shab1252,YES
Africa007-AtlanticCongo-numerals-ekaj1238-1.csv,ekaj1238,ekaj1238,YES
Africa008-AtlanticCongo-numerals-nkem1242-1.csv,nkem1242,nkem1242,YES
Africa009-AtlanticCongo-numerals-nden1250-1.csv,nden1250,nden1250,YES
Africa010-AtlanticCongo-numerals-ejag1239-1.csv,ejag1239,ejag1239,YES
Africa011-AtlanticCongo-numerals-mbee1249-1.csv,mbee1249,mbee1249,YES
Africa012-AtlanticCongo-numerals-akoo1248-1.csv,akoo1248,akoo1248,YES
Africa013-AtlanticCongo-numerals-baka1273-1.csv,baka1273,baka1273,YES
Africa014-AtlanticCongo-numerals-orok1266-1.csv,orok1266,orok1266,YES
Africa015-AtlanticCongo-numerals-dual1243-1.csv,dual1243,dual1243,YES
Africa016-AtlanticCongo-numerals-bata1285-1.csv,bata1285,bata1285,YES
Africa017-AtlanticCongo-numerals-beng1282-1.csv,beng1282,beng1282,YES
Africa018-AtlanticCongo-numerals-bekw1242-1.csv,bekw1242,bekw1242,YES
Africa019-AtlanticCongo-numerals-mpon1254-1.csv,mpon1254,mpon1254,YES
Africa020-AtlanticCongo-numerals-mpie1238-1.csv,mpie1238,mpie1238,YES
Africa021-AtlanticCongo-numerals-ukhw1241-1.csv,ukhw1241,ukhw1241,YES
Africa022-AtlanticCongo-numerals-koon1245-1.csv,koon1245,koon1245,YES
Africa023-AtlanticCongo-numerals-bomw1238-1.csv,bomw1238,bomw1238,YES
Africa024-AtlanticCongo-numerals-byep1241-1.csv,byep1241,byep1241,YES
Africa025-AtlanticCongo-numerals-maka1304-1.csv,maka1304,maka1304,YES
Africa026-AtlanticCongo-numerals-kolc1235-1.csv,kolc1235,kolc1235,YES
Africa027-AtlanticCongo-numerals-gyel1242-1.csv,gyel1242,gyel1242,YES
Africa028-AtlanticCongo-numerals-kwas1243-1.csv,kwas1243,kwas1243,YES
Africa029-AtlanticCongo-numerals-kako1242-1.csv,kako1242,kako1242,YES
Africa030-AtlanticCongo-numerals-pomo1271-1.csv,pomo1271,pomo1271,YES
Africa031-AtlanticCongo-numerals-kwak1266-1.csv,kwak1266,kwak1266,YES
Africa032-AtlanticCongo-numerals-seki1238-1.csv,seki1238,seki1238,YES
Africa033-AtlanticCongo-numerals-bafi1243-1.csv,bafi1243,bafi1243,YES
Africa034-AtlanticCongo-numerals-lefa1242-1.csv,lefa1242,lefa1242,YES
Africa035-AtlanticCongo-numerals-mwes1234-1.csv,mwes1234,mwes1234,YES
Africa036-AtlanticCongo-numerals-kele1257-4.csv,kele1257,kele1257,YES
Africa037-AtlanticCongo-numerals-ngom1270-1.csv,ngom1270,ngom1270,YES
Africa038-AtlanticCongo-numerals-mban1268-1.csv,mban1268,mban1268,YES
Africa039-AtlanticCongo-numerals-sake1247-2.csv,sake1247,sake1247,YES
Africa040-AtlanticCongo-numerals-kota1274-2.csv,kota1274,kota1274,YES
Africa041-AtlanticCongo-numerals-maho1248-2.csv,maho1248,maho1248,YES
Africa042-AtlanticCongo-numerals-ndas1238-1.csv,ndas1238,ndas1238,YES
Africa043-AtlanticCongo-numerals-wumb1242-2.csv,wumb1242,wumb1242,YES
Africa044-AtlanticCongo-numerals-sigh1238-1.csv,sigh1238,sigh1238,YES
Africa045-AtlanticCongo-numerals-bako1249-1.csv,bako1249,bako1249,YES
Africa046-AtlanticCongo-numerals-basa1284-1.csv,basa1284,basa1284,YES
Africa047-AtlanticCongo-numerals-hiju1238-1.csv,hiju1238,hiju1238,YES
Africa048-AtlanticCongo-numerals-bank1256-1.csv,bank1256,bank1256,YES
Africa049-AtlanticCongo-numerals-baro1252-1.csv,baro1252,baro1252,YES
Africa050-AtlanticCongo-numerals-bebe1248-1.csv,bebe1248,bebe1248,YES
Africa051-AtlanticCongo-numerals-beti1249-1.csv,beti1249,ewon1239,YES
Africa052-AtlanticCongo-numerals-bebi1242-1.csv,bebi1242,bebi1242,YES
Africa053-AtlanticCongo-numerals-bulu1251-1.csv,bulu1251,bulu1251,YES
Africa054-AtlanticCongo-numerals-fang1246-1.csv,fang1246,fang1246,YES
Africa055-AtlanticCongo-numerals-eton1253-1.csv,eton1253,eton1253,YES
Africa056-AtlanticCongo-numerals-tsog1243-1.csv,tsog1243,tsog1243,YES
Africa057-AtlanticCongo-numerals-pinj1243-1.csv,pinj1243,pinj1243,YES
Africa058-AtlanticCongo-numerals-myen1241-1.csv,myen1241,myen1241,YES
Africa059-AtlanticCongo-numerals-nuba1241-1.csv,nuba1241,nuba1241,YES
Africa060-AtlanticCongo-numerals-bati1251-1.csv,bati1251,bati1251,YES
Africa061-AtlanticCongo-numerals-yang1293-1.csv,yang1293,yang1293,YES
Africa062-AtlanticCongo-numerals-mmaa1238-1.csv,mmaa1238,mmaa1238,YES
Africa063-AtlanticCongo-numerals-elip1238-1.csv,elip1238,elip1238,YES
Africa064-AtlanticCongo-numerals-nugu1242-1.csv,nugu1242,nugu1242,YES
Africa065-AtlanticCongo-numerals-mbul1262-1.csv,mbul1262,mbul1262,YES
Africa066-AtlanticCongo-numerals-tuki1240-1.csv,tuki1240,tuki1240,YES
Africa067-AtlanticCongo-numerals-noma1260-1.csv,noma1260,noma1260,YES
Africa068-AtlanticCongo-numerals-tune1261-1.csv,tune1261,tune1261,YES
Africa069-AtlanticCongo-numerals-tuot1238-1.csv,tuot1238,tuot1238,YES
Africa070-AtlanticCongo-numerals-yamb1252-1.csv,yamb1252,yamb1252,YES
Africa071-AtlanticCongo-numerals-bang1350-1.csv,bang1350,bang1350,YES
Africa072-AtlanticCongo-numerals-luba1249-1.csv,luba1249,luba1249,YES
Africa073-AtlanticCongo-numerals-kany1247-1.csv,kany1247,kany1247,YES
Africa074-AtlanticCongo-numerals-sang1331-1.csv,sang1331,sang1331,YES
Africa075-AtlanticCongo-numerals-luba1250-1.csv,luba1250,luba1250,YES
Africa076-AtlanticCongo-numerals-song1303-1.csv,song1303,song1303,YES
Africa077-AtlanticCongo-numerals-binj1249-1.csv,binj1249,binj1249,YES
Africa078-AtlanticCongo-numerals-nkoy1244-1.csv,nkoy1244,nkoy1244,YES
Africa079-AtlanticCongo-numerals-mbow1246-1.csv,mbow1246,mbow1246,YES
Africa080-AtlanticCongo-numerals-mbuk1240-1.csv,mbuk1240,mbuk1240,YES
Africa081-AtlanticCongo-numerals-sima1258-1.csv,sima1258,sima1258,YES
Africa082-AtlanticCongo-numerals-kimb1241-1.csv,kimb1241,kimb1241,YES
Africa083-AtlanticCongo-numerals-phen1239-1.csv,phen1239,phen1239,YES
Africa084-AtlanticCongo-numerals-mbal1257-2.csv,mbal1257,mbal1257,YES
Africa085-AtlanticCongo-numerals-chok1245-1.csv,chok1245,chok1245,YES
Africa086-AtlanticCongo-numerals-luch1239-1.csv,luch1239,luch1239,YES
Africa087-AtlanticCongo-numerals-nyem1238-1.csv,nyem1238,nyem1238,YES
Africa088-AtlanticCongo-numerals-mbun1249-1.csv,mbun1249,mbun1249,YES
Africa089-AtlanticCongo-numerals-lund1266-1.csv,lund1266,lund1266,YES
Africa090-AtlanticCongo-numerals-diri1252-1.csv,diri1252,diri1252,YES
Africa091-AtlanticCongo-numerals-kwan1273-1.csv,kwan1273,kwan1273,YES
Africa092-AtlanticCongo-numerals-umbu1257-1.csv,umbu1257,umbu1257,YES
Africa093-AtlanticCongo-numerals-here1253-1.csv,here1253,here1253,YES
Africa094-AtlanticCongo-numerals-zemb1238-1.csv,zemb1238,zemb1238,YES
Africa095-AtlanticCongo-numerals-nkhu1238-1.csv,nkhu1238,nkhu1238,YES
Africa096-AtlanticCongo-numerals-nyan1305-1.csv,nyan1305,nyan1305,YES
Africa097-AtlanticCongo-numerals-kuan1247-1.csv,kuan1247,kuan1247,YES
Africa098-AtlanticCongo-numerals-akwa1248-1.csv,akwa1248,akwa1248,YES
Africa099-AtlanticCongo-numerals-koyo1242-1.csv,koyo1242,koyo1242,YES
Africa100-AtlanticCongo-numerals-mbos1242-1.csv,mbos1242,mbos1242,YES
Africa101-AtlanticCongo-numerals-mbok1243-1.csv,mbok1243,mbok1243,YES
Africa102-AtlanticCongo-numerals-amba1263-1.csv,amba1263,amba1263,YES
Africa103-AtlanticCongo-numerals-bera1259-1.csv,bera1259,bera1259,YES
Africa104-AtlanticCongo-numerals-bhel1238-1.csv,bhel1238,bhel1238,YES
Africa105-AtlanticCongo-numerals-komo1260-1.csv,komo1260,komo1260,YES
Africa106-AtlanticCongo-numerals-bila1255-1.csv,bila1255,bila1255,YES
Africa107-AtlanticCongo-numerals-pagi1243-2.csv,pagi1243,pagi1243,YES
Africa108-AtlanticCongo-numerals-ngel1238-1.csv,ngel1238,ngel1238,YES
Africa109-AtlanticCongo-numerals-lika1243-1.csv,lika1243,lika1243,YES
Africa110-AtlanticCongo-numerals-bali1274-1.csv,bali1274,bali1274,YES
Africa111-AtlanticCongo-numerals-ngom1268-1.csv,ngom1268,ngom1268,YES
