Glottocode	Language_ID	Parameter_ID	Form	Gloss	Comments	Source	Coder
sene1264	sene1264-1	50	wisniwasheh	5·{LIG}10		Channumerals	EAT
sene1264	sene1264-1	60	yeiniwasheh	6·{LIG}10		Channumerals	EAT
sene1264	sene1264-1	70	dzadakniwasheh	7·{LIG}10		Channumerals	EAT
sene1264	sene1264-1	80	degyoniwasheh	8·{LIG}10		Channumerals	EAT
sene1264	sene1264-1	90	johdoniwasheh	9·{LIG}10		Channumerals	EAT
sene1264	sene1264-1	100	sgatdewenyaeh	100	Literally strike of the hand	Channumerals	EAT
sene1264	sene1264-1	200	deknidewenyaeh	2·{LIG}100		Channumerals	EAT
sene1264	sene1264-1	1000	sgaoshat	10[·]100(?)		Channumerals	EAT
sene1264	sene1264-1	2000	deknidegaoshageh	2·10·100		Channumerals	EAT
nort2945	nort2945-1	1	atausiq	1		Channumerals	EAT
nort2945	nort2945-1	2	malguk	2		Channumerals	EAT
nort2945	nort2945-1	3	pingasut	3		Channumerals	EAT
nort2945	nort2945-1	4	sisamat	4		Channumerals	EAT
nort2945	nort2945-1	5	tallimat	5		Channumerals	EAT
nort2945	nort2945-1	6	itchaksraq	6		Channumerals	EAT
nort2945	nort2945-1	7	tallimatmalguk	5[+]2		Channumerals	EAT
nort2945	nort2945-1	8	tallimatpingasut	5[+]3		Channumerals	EAT
nort2945	nort2945-1	9	qulingugutailaq	10[-][1]{LIG}	literary ‘lacking one tenth [to 10]’	Channumerals	EAT
nort2945	nort2945-1	10	qulit	10		Channumerals	EAT
nort2945	nort2945-1	11	qulitatausiq	10+1		Channumerals	EAT
nort2945	nort2945-1	12	qulitmalguk	10+2		Channumerals	EAT
nort2945	nort2945-1	13	qulitpingajun	10+3		Channumerals	EAT
nort2945	nort2945-1	14	akimaqrutailaq	15-1		Channumerals	EAT
nort2945	nort2945-1	15	akimaq	15	aki - other half	Channumerals	EAT
nort2945	nort2945-1	16	akimaqatausiq	15+1		Channumerals	EAT
nort2945	nort2945-1	17	akimaqmalguk	15+2		Channumerals	EAT
nort2945	nort2945-1	18	akimaqpingasut	15+3		Channumerals	EAT
nort2945	nort2945-1	19	inuinagutailaq	20-1		Channumerals	EAT
