,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-anma1239-1-one-1,numerals-anma1239-1,Chan2019,one,1,(ʌ)ˈɲəntʰ,nanth,,false,1,<(a)nyent>,
2,numerals-anma1239-1-two-1,numerals-anma1239-1,Chan2019,two,2,ʌ'tθəɾᵉ,tthare,,false,2,<atherr>,
3,numerals-anma1239-1-three-1,numerals-anma1239-1,Chan2019,three,3,uɾpitʃ,urpits,,false,?,<urrpety> ; contributor notes that this is not a numeral but rather means ‘a few’,
4,numerals-anma1239-1-three-2,numerals-anma1239-1,Chan2019,three,3,ɾpwitʃ,rpwits,( litː 'a few' ),false,?,<rrpwety> ; contributor notes that this is not a numeral but rather means ‘a few’,
5,numerals-anma1239-1-four-1,numerals-anma1239-1,Chan2019,four,4,ʌk'ŋəɾᵊ,kngar,( litː 'many' ),false,?,<akngerr> ; contributor notes that this is not a numeral but rather means ‘many’,
